"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2015', 'Quantity')","('Jun 2015', 'FOB (Baht)')","('Jan - Jun 2015', 'Quantity')","('Jan - Jun 2015', 'FOB (Baht)')"
AU,AUSTRALIA,32000,1772114,177500,8890953
BD,BANGLADESH,391000,21748436,3196000,142863214
KH,CAMBODIA,0,0,4620,372076
CL,CHILE,34000,1908993,34000,1908993
CN,CHINA,3996000,214789669,31565400,1538885253
HK,HONG KONG,5000,295352,5000,295352
IN,INDIA,1136000,62771523,10647025,482288223
ID,INDONESIA,305975,16963340,1116450,57518129
KE,KENYA,0,0,204000,9421590
KR,"KOREA,REPUBLIC OF",0,0,200,7776
LA,LAO PDR,6,12986,95,176020
MY,MALAYSIA,6000,348575,48000,2411477
PK,PAKISTAN,34000,1901020,815000,35907645
PH,PHILIPPINES,41000,2285408,41000,2285408
LK,SRI LANKA,85000,4765837,374856,19426173
TW,"TAIWAN, PROVINCE OF CHINA",0,0,24000,1035269
US,UNITED STATES,31000,1782413,43000,2438313
VN,VIETNAM,208000,11555734,1086000,55944051
SUM,SUM,6304981,342901400,49382146,2362075915
