"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2016', 'Quantity')","('Jun 2016', 'FOB (Baht)')","('Jan - Jun 2016', 'Quantity')","('Jan - Jun 2016', 'FOB (Baht)')"
CN,CHINA,0,0,73000,2745278
HK,HONG KONG,2000,116447,6725,387570
IN,INDIA,5150,397815,5150,397815
ID,INDONESIA,31000,4435169,89375,11903657
JP,JAPAN,150,17838,350,42329
LA,LAO PDR,29000,1337000,130500,5913000
PK,PAKISTAN,100,10089,4100,230427
PH,PHILIPPINES,0,0,75000,3925414
VN,VIETNAM,76000,3774917,194000,9179427
SUM,SUM,143400,10089275,578200,34724917
