"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2017', 'Quantity')","('Mar 2017', 'FOB (Baht)')","('Jan - Mar 2017', 'Quantity')","('Jan - Mar 2017', 'FOB (Baht)')"
AU,AUSTRALIA,187870,9737271,187870,9737271
BT,BHUTAN,49500,2352549,49500,2352549
CN,CHINA,1297510,79626337,1297510,79626337
IN,INDIA,652300,32675825,652300,32675825
ID,INDONESIA,645950,33450385,645950,33450385
JP,JAPAN,675250,37676202,675250,37676202
KR,"KOREA,REPUBLIC OF",437250,28583784,437250,28583784
MY,MALAYSIA,99650,4790955,99650,4790955
NP,NEPAL,19800,1298011,19800,1298011
NZ,NEW ZEALAND,93250,4849934,93250,4849934
PK,PAKISTAN,19800,1272995,19800,1272995
PH,PHILIPPINES,215000,9721745,215000,9721745
SG,SINGAPORE,178200,12897522,178200,12897522
LK,SRI LANKA,24750,1217219,24750,1217219
TW,"TAIWAN, PROVINCE OF CHINA",140350,9335785,140350,9335785
VN,VIETNAM,30550,1973013,30550,1973013
SUM,SUM,4766980,271459532,4766980,271459532
