"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2012', 'Quantity')","('Oct 2012', 'FOB (Baht)')","('Jan - Oct 2012', 'Quantity')","('Jan - Oct 2012', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,199091,6014878
BD,BANGLADESH,0,0,68480,3064575
BE,BELGIUM,0,0,500,31279
CN,CHINA,5000,338214,46064,6447719
DJ,DJIBOUTI,0,0,34000,1531031
HK,HONG KONG,0,0,7000,346217
ID,INDONESIA,32000,1844186,344143,19472041
JP,JAPAN,2700,247000,114976,5338598
KR,"KOREA,REPUBLIC OF",500,36520,1631,157815
MY,MALAYSIA,0,0,18500,883835
MM,MYANMAR,0,0,200,17244
PK,PAKISTAN,2600,183112,3325,238196
PH,PHILIPPINES,0,0,51075,2312709
TW,"TAIWAN, PROVINCE OF CHINA",0,0,1000,67460
US,UNITED STATES,0,0,200,15314
VN,VIETNAM,78805,5605674,796333,76062844
SUM,SUM,121605,8254706,1686518,122001755
