"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2019', 'Quantity')","('Jul 2019', 'FOB (Baht)')","('Jan - Jul 2019', 'Quantity')","('Jan - Jul 2019', 'FOB (Baht)')"
AU,AUSTRALIA,15000,685669,30000,1426899
BD,BANGLADESH,306000,13637403,1241000,57839551
BE,BELGIUM,0,0,300,1018966
KH,CAMBODIA,0,0,1320,132640
CN,CHINA,6960250,326942081,57416808,2796184391
IN,INDIA,1375000,63635353,7381500,352268395
ID,INDONESIA,69000,3191109,825394,40070214
JP,JAPAN,50,3088,12050,715468
LA,LAO PDR,0,0,18,41810
MY,MALAYSIA,3850,452601,62530,3855087
MM,MYANMAR,20,0,20,0
PK,PAKISTAN,51000,2323863,137000,6544429
PH,PHILIPPINES,0,0,21000,1523813
SC,SEYCHELLES,0,0,1600,198000
SG,SINGAPORE,0,0,15220,766165
LK,SRI LANKA,0,0,17000,789737
TW,"TAIWAN, PROVINCE OF CHINA",34000,1599278,69000,3366813
AE,UNITED ARAB EMIRATES,0,0,150,75416
US,UNITED STATES,30000,1445465,113000,5540624
VN,VIETNAM,97439,4523675,605362,29577807
SUM,SUM,8941609,418439585,67950272,3301936225
