"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2018', 'Quantity')","('Apr 2018', 'FOB (Baht)')","('Jan - Apr 2018', 'Quantity')","('Jan - Apr 2018', 'FOB (Baht)')"
AO,ANGOLA,0,0,53100,2145157
AU,AUSTRALIA,1189900,48417049,4637300,188825453
BD,BANGLADESH,303000,11975947,1505500,59752919
BE,BELGIUM,0,0,416000,16100743
BR,BRAZIL,0,0,14200,697346
BN,BRUNEI DARUSSALAM,0,0,3500,147499
KH,CAMBODIA,543025,24658853,2125200,98741986
CM,CAMEROON,0,0,35000,1341916
CA,CANADA,118000,5476542,735750,35560941
CL,CHILE,0,0,50,18785
CN,CHINA,26516418,1035617953,80394828,3266048548
CI,COTE D IVOIRE,280000,10701542,826000,32004596
CU,CUBA,0,0,12000,687210
DJ,DJIBOUTI,87500,3428176,542500,21550210
FJ,FIJI,40400,1976904,319600,15294783
FI,FINLAND,0,0,48000,2208469
FR,FRANCE,110000,5000262,264000,12431256
PF,FRENCH POLYNESIA,36500,1642678,81500,3657844
GA,GABON,0,0,13500,657554
DE,GERMANY,295375,13991656,1313200,63453664
GH,GHANA,383000,14490871,1252000,47865539
IN,INDIA,356300,15649139,1787875,78948812
ID,INDONESIA,2816950,113279547,12691850,512404563
IE,IRELAND,70000,3021159,70000,3021159
IL,ISRAEL,1205925,52943486,5358550,228004029
JP,JAPAN,1691875,67759005,7201175,288563440
KZ,KAZAKHSTAN,68000,2641034,167500,6752048
KE,KENYA,28400,1439416,113575,5795221
KR,"KOREA,REPUBLIC OF",19375,1959104,68400,7197343
LA,LAO PDR,141000,4777451,488597,17257361
LV,LATVIA,13500,629835,30000,1328488
LT,LITHUANIA,72000,3645397,72000,3645397
MG,MADAGASCAR,13500,624480,95000,4497343
MY,MALAYSIA,2647250,111229587,9718500,401102674
ML,MALI,0,0,162000,7693802
MU,MAURITIUS,124200,6076108,325075,15774022
MX,MEXICO,0,0,6400,827208
MZ,MOZAMBIQUE,87400,3646098,171550,7303871
MM,MYANMAR,233275,10514738,768075,33410062
NP,NEPAL,0,0,49500,1870977
NL,NETHERLANDS,56000,2843732,214000,10466137
NC,NEW CALEDONIA,0,0,48750,2022810
NZ,NEW ZEALAND,527060,25626623,2157185,98222821
NG,NIGERIA,33000,1327635,33000,1327635
PK,PAKISTAN,35000,1420476,95525,4423111
PG,PAPUA NEW GUINEA,55400,2580377,188600,9045825
PH,PHILIPPINES,230000,9952247,2439425,98786962
PL,POLAND,52500,2307516,167500,7533853
PT,PORTUGAL,0,0,150000,5938094
QA,QATAR,0,0,25500,1160794
RE,REUNION,13500,637478,133025,6454264
RU,RUSSIAN FEDERATION,550800,24639600,1400550,62060969
WS,SAMOA,0,0,26000,1385511
SN,SENEGAL,0,0,261400,10755250
SL,SIERRA LEONE,0,0,13500,654738
SG,SINGAPORE,24775,1007230,213775,8813190
SI,SLOVENIA,0,0,198000,7917693
ZA,SOUTH AFRICA,719000,28686781,2932500,119607630
LK,SRI LANKA,175000,6945164,673000,26856660
SE,SWEDEN,0,0,106150,5382625
SY,SYRIAN ARAB REPUBLIC,0,0,102000,4488318
TW,"TAIWAN, PROVINCE OF CHINA",158700,7778207,258275,14326981
TG,TOGO,315000,12028403,1120000,42573750
TR,TÜRKIYE,39850,2032951,144650,7308625
UA,UKRAINE,156975,6662620,499475,20922701
AE,UNITED ARAB EMIRATES,0,0,751550,31691917
GB,UNITED KINGDOM,0,0,35000,1466742
US,UNITED STATES,34700,1568592,41100,1844481
VN,VIETNAM,3644600,141340699,15461200,610868412
SUM,SUM,46313928,1856600348,163828985,6718898737
