"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2023', 'Quantity')","('Jan 2023', 'FOB (Baht)')","('Jan - Jan 2023', 'Quantity')","('Jan - Jan 2023', 'FOB (Baht)')"
AU,AUSTRALIA,42280,4881669,42280,4881669
CN,CHINA,7611258,121395941,7611258,121395941
DK,DENMARK,5,346,5,346
FJ,FIJI,500,86438,500,86438
FR,FRANCE,25,31,25,31
DE,GERMANY,0,35,0,35
HK,HONG KONG,844467,21493333,844467,21493333
IN,INDIA,400350,11621741,400350,11621741
ID,INDONESIA,176600,9071213,176600,9071213
IT,ITALY,1,69,1,69
JP,JAPAN,30295,3554942,30295,3554942
KR,"KOREA,REPUBLIC OF",1209,181282,1209,181282
MY,MALAYSIA,189605,7553293,189605,7553293
NL,NETHERLANDS,25,1729,25,1729
PH,PHILIPPINES,13180,1204186,13180,1204186
SG,SINGAPORE,8000,1250923,8000,1250923
ES,SPAIN,100,1686,100,1686
TW,"TAIWAN, PROVINCE OF CHINA",261603,7413668,261603,7413668
US,UNITED STATES,21272,1435452,21272,1435452
VN,VIETNAM,71235,2087151,71235,2087151
SUM,SUM,9672010,193235128,9672010,193235128
