"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2016', 'Quantity')","('Jul 2016', 'FOB (Baht)')","('Jan - Jul 2016', 'Quantity')","('Jan - Jul 2016', 'FOB (Baht)')"
AU,AUSTRALIA,16000,1313142,130000,10995622
BD,BANGLADESH,0,0,1075,101937
CN,CHINA,47800,4107893,526205,42457906
EG,EGYPT,0,0,496000,26374066
FI,FINLAND,0,0,4,971
GH,GHANA,0,0,129250,3179616
HK,HONG KONG,5000,473770,6425,538359
IN,INDIA,639345,53025425,2321099,204385280
ID,INDONESIA,449825,37702397,2114595,167369238
IT,ITALY,0,0,1000,109331
JP,JAPAN,4533,524800,93067,9737666
KE,KENYA,0,0,24000,815931
KR,"KOREA,REPUBLIC OF",375,30954,38595,2820085
MG,MADAGASCAR,0,0,32275,935704
MW,MALAWI,0,0,54000,1408111
MY,MALAYSIA,34375,2136419,595627,43243401
NZ,NEW ZEALAND,0,0,300,112411
PK,PAKISTAN,0,0,16000,1375696
PH,PHILIPPINES,2016,523730,41508,5395463
SA,SAUDI ARABIA,0,0,351500,24672444
SG,SINGAPORE,0,0,350,3889
ZA,SOUTH AFRICA,0,0,96604,6310468
LK,SRI LANKA,0,0,16000,414764
TW,"TAIWAN, PROVINCE OF CHINA",51400,5848912,245792,27401543
TR,TÜRKIYE,0,0,19,174731
AE,UNITED ARAB EMIRATES,72000,5002454,336000,21855366
US,UNITED STATES,16475,1067870,121316,8790785
VN,VIETNAM,120975,5830415,837817,47198868
SUM,SUM,1460119,117588181,8626423,658179652
