"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2021', 'Quantity')","('Aug 2021', 'FOB (Baht)')","('Jan - Aug 2021', 'Quantity')","('Jan - Aug 2021', 'FOB (Baht)')"
AU,AUSTRALIA,287,36204,787,98130
CN,CHINA,1587957,12423999,7649795,62966853
DJ,DJIBOUTI,258177,2017133,258177,2017133
DO,DOMINICAN REPUBLIC,0,0,48850,1362463
DE,GERMANY,0,0,15,446
HK,HONG KONG,0,0,300,14400
IN,INDIA,99000,2649090,660025,16327887
JP,JAPAN,0,0,4,635
KR,"KOREA,REPUBLIC OF",26500,207044,177464,1399708
LA,LAO PDR,0,0,752,452845
MY,MALAYSIA,0,0,1000,120941
MX,MEXICO,0,0,100,7385
NC,NEW CALEDONIA,0,0,460,38400
PH,PHILIPPINES,0,0,0,61
SG,SINGAPORE,0,0,2400,145282
LK,SRI LANKA,8000,591182,8000,591182
CH,SWITZERLAND,0,0,0,54
TW,"TAIWAN, PROVINCE OF CHINA",0,0,24000,271316
TZ,TANZANIA UNITED REPUBLIC OF,0,0,12000,659014
VN,VIETNAM,0,0,55315,1612666
SUM,SUM,1979921,17924652,8899444,88086801
