"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2016', 'Quantity')","('Oct 2016', 'FOB (Baht)')","('Jan - Oct 2016', 'Quantity')","('Jan - Oct 2016', 'FOB (Baht)')"
AU,AUSTRALIA,55000,2653030,293650,15058754
BD,BANGLADESH,136000,6237146,3910000,186346825
BN,BRUNEI DARUSSALAM,0,0,300,1346
KH,CAMBODIA,0,0,4400,353002
CL,CHILE,0,0,24000,1124461
CN,CHINA,6927000,331660109,52814000,2549403813
IN,INDIA,609000,28228956,18150000,860141669
ID,INDONESIA,96000,4443949,1585000,78723939
JP,JAPAN,0,0,24000,1353489
KR,"KOREA,REPUBLIC OF",0,0,51000,2502420
LA,LAO PDR,30,43996,126,242134
MY,MALAYSIA,0,0,44350,2235899
NG,NIGERIA,0,0,187000,8673960
PK,PAKISTAN,34000,1572064,339000,16379022
PH,PHILIPPINES,51000,2406792,240750,11910197
SA,SAUDI ARABIA,0,0,24000,1265538
SC,SEYCHELLES,300,8700,600,9300
LK,SRI LANKA,51000,2408865,424864,20566978
TW,"TAIWAN, PROVINCE OF CHINA",24000,1129317,72000,3423307
TR,TÜRKIYE,0,0,51000,2476987
US,UNITED STATES,0,0,381523,19587223
VN,VIETNAM,158000,7435534,1109000,54226661
SUM,SUM,8141330,388228458,79730563,3836006924
