"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2019', 'Quantity')","('Dec 2019', 'FOB (Baht)')","('Jan - Dec 2019', 'Quantity')","('Jan - Dec 2019', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,41090,1747510
CN,CHINA,24000,2198693,783170,27944648
HK,HONG KONG,24000,814327,48000,1716331
IN,INDIA,30000,3736610,243525,25848847
ID,INDONESIA,47200,1965125,840100,41234130
JP,JAPAN,0,0,30200,1340522
KR,"KOREA,REPUBLIC OF",0,0,18000,1891323
MX,MEXICO,0,0,126750,5617006
PK,PAKISTAN,0,0,8450,1086326
TW,"TAIWAN, PROVINCE OF CHINA",0,0,175,26256
TG,TOGO,0,0,32500,784169
US,UNITED STATES,0,0,601,33340
VN,VIETNAM,12500,698232,76727,4184733
SUM,SUM,137700,9412987,2249288,113455141
