"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2023', 'Quantity')","('Jan 2023', 'FOB (Baht)')","('Jan - Jan 2023', 'Quantity')","('Jan - Jan 2023', 'FOB (Baht)')"
AU,AUSTRALIA,43206,7405997,43206,7405997
CN,CHINA,716013,10652989,716013,10652989
DK,DENMARK,25,1454,25,1454
FR,FRANCE,2,418,2,418
DE,GERMANY,106,4250,106,4250
HK,HONG KONG,47,60333,47,60333
JP,JAPAN,77052,3133899,77052,3133899
KR,"KOREA,REPUBLIC OF",14000,1363388,14000,1363388
LK,SRI LANKA,46,539370,46,539370
CH,SWITZERLAND,0,692,0,692
TW,"TAIWAN, PROVINCE OF CHINA",0,138,0,138
GB,UNITED KINGDOM,222,74040,222,74040
US,UNITED STATES,69,60010,69,60010
SUM,SUM,850788,23296978,850788,23296978
