"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2020', 'Quantity')","('Aug 2020', 'FOB (Baht)')","('Jan - Aug 2020', 'Quantity')","('Jan - Aug 2020', 'FOB (Baht)')"
AU,AUSTRALIA,239720,11202242,5709650,211697686
BD,BANGLADESH,0,0,199900,7194147
BE,BELGIUM,0,0,45000,2516053
KH,CAMBODIA,24750,805820,74250,1841020
CN,CHINA,32867200,1352327714,316570542,12625430130
DJ,DJIBOUTI,16500,513365,66000,2117314
FJ,FIJI,0,0,28000,884089
PF,FRENCH POLYNESIA,0,0,8000,259400
GH,GHANA,99000,3083961,148500,4419559
HK,HONG KONG,20810,702865,236945,8987506
IN,INDIA,557000,23131543,5860950,255214473
ID,INDONESIA,5219530,182136258,46039525,1558385452
JP,JAPAN,5845800,193360228,45217500,1629771824
KR,"KOREA,REPUBLIC OF",148625,8026481,3022515,143158654
LA,LAO PDR,1000,34083,1000,34083
MY,MALAYSIA,848610,31985413,5034010,187207197
MU,MAURITIUS,0,0,42000,1172763
MM,MYANMAR,0,0,288200,6985760
NZ,NEW ZEALAND,377350,13636965,3442150,127399244
PK,PAKISTAN,25500,812349,182800,7004134
PH,PHILIPPINES,1159150,38287173,7733450,236146320
PT,PORTUGAL,0,0,225000,5175606
RE,REUNION,0,0,3000,87264
SN,SENEGAL,49500,1532081,49500,1532081
SG,SINGAPORE,55950,2149305,1826750,86770230
LK,SRI LANKA,3750,253585,276750,9662492
TW,"TAIWAN, PROVINCE OF CHINA",723025,24202933,5735700,208189876
AE,UNITED ARAB EMIRATES,0,0,16500,517148
US,UNITED STATES,18750,1942299,427300,32378017
VN,VIETNAM,1077150,46016296,5602325,238871548
SUM,SUM,49378670,1936142959,454113712,17601011070
