"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2022', 'Quantity')","('Jan 2022', 'FOB (Baht)')","('Jan - Jan 2022', 'Quantity')","('Jan - Jan 2022', 'FOB (Baht)')"
AU,AUSTRALIA,31200,4642575,31200,4642575
CN,CHINA,655,39740,655,39740
FI,FINLAND,2,4525,2,4525
FR,FRANCE,47,9544,47,9544
HK,HONG KONG,1,66,1,66
IN,INDIA,1000,171592,1000,171592
ID,INDONESIA,3500,268611,3500,268611
IE,IRELAND,2,1249,2,1249
IL,ISRAEL,1,133,1,133
JP,JAPAN,85956,3996427,85956,3996427
KR,"KOREA,REPUBLIC OF",7001,521766,7001,521766
NO,NORWAY,1,374,1,374
SG,SINGAPORE,10,4567,10,4567
CH,SWITZERLAND,28,2246,28,2246
AE,UNITED ARAB EMIRATES,142,95366,142,95366
GB,UNITED KINGDOM,62,2938,62,2938
US,UNITED STATES,295,154163,295,154163
SUM,SUM,129903,9915882,129903,9915882
