"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2017', 'Quantity')","('Apr 2017', 'FOB (Baht)')","('Jan - Apr 2017', 'Quantity')","('Jan - Apr 2017', 'FOB (Baht)')"
AT,AUSTRIA,0,0,650,22782
BD,BANGLADESH,3000,162456,9000,443091
BN,BRUNEI DARUSSALAM,0,0,15000,646286
CN,CHINA,100,46083,100,46083
IN,INDIA,1000,60364,1200,76874
ID,INDONESIA,486000,22772452,1761800,81643646
JP,JAPAN,1000,67090,2425,138068
KR,"KOREA,REPUBLIC OF",14575,603300,31575,1209305
MY,MALAYSIA,31,1552,8031,529025
PK,PAKISTAN,25,16315,22200,2031572
AE,UNITED ARAB EMIRATES,0,0,100,3941
US,UNITED STATES,0,0,300,47028
VN,VIETNAM,8500,816120,12150,1148410
SUM,SUM,514231,24545732,1864531,87986111
