"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2012', 'Quantity')","('Feb 2012', 'FOB (Baht)')","('Jan - Feb 2012', 'Quantity')","('Jan - Feb 2012', 'FOB (Baht)')"
BD,BANGLADESH,544000,29956954,850000,47228721
CN,CHINA,4079200,240318546,8244200,484201559
ET,ETHIOPIA,0,0,102000,6018536
IN,INDIA,1163000,67421332,3268000,184155448
ID,INDONESIA,17000,970420,139625,8004293
KR,"KOREA,REPUBLIC OF",3675,214801,3675,214801
MY,MALAYSIA,5500,269625,5750,311875
PK,PAKISTAN,272000,15527982,357000,20227284
PH,PHILIPPINES,17036,1021797,17036,1021797
SG,SINGAPORE,1800,107322,1800,107322
LK,SRI LANKA,68000,3931551,238000,13645678
SY,SYRIAN ARAB REPUBLIC,0,0,80000,4767003
US,UNITED STATES,0,0,19000,1304016
VN,VIETNAM,372200,22585471,457400,27495043
SUM,SUM,6543411,382325801,13783486,798703376
