"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2019', 'Quantity')","('Oct 2019', 'FOB (Baht)')","('Jan - Oct 2019', 'Quantity')","('Jan - Oct 2019', 'FOB (Baht)')"
BD,BANGLADESH,0,0,19250,534555
BN,BRUNEI DARUSSALAM,0,0,26000,1052639
CN,CHINA,25500,362927,500241,6277122
IN,INDIA,0,0,113000,6469437
ID,INDONESIA,0,0,400,40415
JP,JAPAN,125,13041,2655,147160
KR,"KOREA,REPUBLIC OF",0,0,925,95785
LA,LAO PDR,0,0,81000,3215583
MY,MALAYSIA,0,0,197660,838810
MM,MYANMAR,0,0,2760,138000
PG,PAPUA NEW GUINEA,12,3890,418,94786
SG,SINGAPORE,0,0,1026,8126
TW,"TAIWAN, PROVINCE OF CHINA",0,0,530,65599
TR,TÜRKIYE,9000,664709,97800,7499937
US,UNITED STATES,0,0,36075,2929394
VN,VIETNAM,76000,3359520,270200,12202849
SUM,SUM,110637,4404087,1349940,41610197
