"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2012', 'Quantity')","('Feb 2012', 'FOB (Baht)')","('Jan - Feb 2012', 'Quantity')","('Jan - Feb 2012', 'FOB (Baht)')"
AU,AUSTRALIA,230255,16394838,411455,27933961
AT,AUSTRIA,0,0,1030,38200
BD,BANGLADESH,237600,12493484,336600,18071654
CN,CHINA,9034521,474019151,15327622,794929017
DJ,DJIBOUTI,102000,3039229,102000,3039229
DE,GERMANY,2000,87977,2345,99477
HK,HONG KONG,179963,5785390,396245,18150043
IN,INDIA,784525,44609537,1831525,101103870
ID,INDONESIA,1882850,87811470,3144040,145033206
JP,JAPAN,1219057,84357175,2234220,150667427
KE,KENYA,17000,447886,17000,447886
KR,"KOREA,REPUBLIC OF",1720000,103770768,3362800,203108250
LA,LAO PDR,122500,3705000,202500,6135000
LB,LEBANON,0,0,1500,188605
MY,MALAYSIA,3059775,133284971,4498845,197225671
MM,MYANMAR,820,15600,1270,25600
NZ,NEW ZEALAND,8000,578739,27350,2301669
PE,PERU,0,0,288000,11706642
PH,PHILIPPINES,1729175,72847710,2274545,95446505
SA,SAUDI ARABIA,0,0,2950,367758
SG,SINGAPORE,127800,8302522,321825,21606488
TW,"TAIWAN, PROVINCE OF CHINA",243468,12390880,666679,33124336
TR,TÜRKIYE,16000,634086,16000,634086
GB,UNITED KINGDOM,1,188,1,188
VN,VIETNAM,55913,3725223,94763,6160538
SUM,SUM,20773223,1068301824,35563110,1837545306
