"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2012', 'Quantity')","('Feb 2012', 'FOB (Baht)')","('Jan - Feb 2012', 'Quantity')","('Jan - Feb 2012', 'FOB (Baht)')"
DZ,ALGERIA,289000,12642129,345800,15559713
AR,ARGENTINA,0,0,54000,2444159
AU,AUSTRALIA,2203340,96796563,5039970,226155148
BD,BANGLADESH,487550,20928574,1255550,53637889
BE,BELGIUM,297000,12941065,2103125,87478971
BR,BRAZIL,450000,19600206,537000,23236792
KH,CAMBODIA,18000,768119,18000,768119
CL,CHILE,18000,789174,18000,789174
CN,CHINA,13461475,557092251,21115050,872977476
CO,COLOMBIA,18000,789164,118500,5144402
CI,COTE D IVOIRE,34500,1465980,34500,1465980
DJ,DJIBOUTI,106000,4572330,106000,4572330
EC,ECUADOR,36000,1564466,142500,5771539
FJ,FIJI,10000,430007,10000,430007
FI,FINLAND,0,0,80000,3467530
FR,FRANCE,51000,2554941,243000,9698179
PF,FRENCH POLYNESIA,0,0,18000,782596
DE,GERMANY,2600,119035,2600,119035
GH,GHANA,0,0,396000,14589825
HK,HONG KONG,252200,10470317,301700,12572340
IN,INDIA,4867600,208004945,7941850,339388404
ID,INDONESIA,3131000,137440401,5512830,238536628
IL,ISRAEL,0,0,17000,665361
IT,ITALY,0,0,501000,20476067
JP,JAPAN,6302525,285735413,13781975,622968639
KR,"KOREA,REPUBLIC OF",2864340,114246017,4633720,186006865
LA,LAO PDR,55675,2783275,253325,13614703
MY,MALAYSIA,597532,26124188,1203932,51746301
MU,MAURITIUS,65000,3200810,110000,5424579
MZ,MOZAMBIQUE,51500,1888971,69100,2656722
MM,MYANMAR,252000,10783305,306000,13035318
NL,NETHERLANDS,51000,2555001,51000,2555001
NC,NEW CALEDONIA,18000,790387,36000,1517083
NZ,NEW ZEALAND,984240,42661308,1800330,77178082
NG,NIGERIA,66000,2815286,66000,2815286
PK,PAKISTAN,119625,4888467,144375,5865702
PG,PAPUA NEW GUINEA,51000,2223435,69000,3006031
PY,PARAGUAY,84000,3609751,84000,3609751
PE,PERU,600000,26547151,652500,28985154
PH,PHILIPPINES,1057125,44120848,1739925,72100843
PT,PORTUGAL,0,0,154500,6333436
RE,REUNION,17000,745128,86000,3878181
SG,SINGAPORE,195000,8407356,441000,18732121
SI,SLOVENIA,0,0,207000,8423093
ZA,SOUTH AFRICA,67000,2879583,439000,17597167
ES,SPAIN,0,0,421500,17701141
LK,SRI LANKA,172500,7323043,290750,12219373
CH,SWITZERLAND,700,43596,700,43596
TW,"TAIWAN, PROVINCE OF CHINA",2242576,95593527,3802386,160566483
TG,TOGO,0,0,288000,10608647
TR,TÜRKIYE,648000,27497970,662200,28194042
AE,UNITED ARAB EMIRATES,153000,6537636,201750,7983458
US,UNITED STATES,0,0,300,24077
UY,URUGUAY,49500,2288047,49500,2288047
VN,VIETNAM,1322500,60659408,2091600,95830865
SUM,SUM,43820603,1875918574,80049343,3424237451
