"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2017', 'Quantity')","('Oct 2017', 'FOB (Baht)')","('Jan - Oct 2017', 'Quantity')","('Jan - Oct 2017', 'FOB (Baht)')"
DZ,ALGERIA,0,0,16000,441670
AR,ARGENTINA,0,0,2100,168768
AU,AUSTRALIA,60000,1411263,475500,16707999
BR,BRAZIL,0,0,287400,22897236
KH,CAMBODIA,0,0,110,36628
CN,CHINA,289125,15623884,1234744,97935798
EG,EGYPT,0,0,53350,3325105
DE,GERMANY,0,196,0,196
GH,GHANA,32200,734908,259700,6139137
HT,HAITI,0,0,54000,1817813
HK,HONG KONG,0,0,16750,1579269
IN,INDIA,512950,40798763,5766528,468905529
ID,INDONESIA,378550,26930052,2614457,207262397
JP,JAPAN,1400,95387,13035,1287451
KR,"KOREA,REPUBLIC OF",0,0,44485,4487424
LA,LAO PDR,0,0,356,131940
MG,MADAGASCAR,0,0,64575,1760161
MY,MALAYSIA,42000,4370635,435545,43206662
ML,MALI,0,0,99000,3645227
MZ,MOZAMBIQUE,0,0,32500,768898
MM,MYANMAR,0,0,5594,678011
NZ,NEW ZEALAND,0,0,250,44152
NG,NIGERIA,0,0,12000,917551
PK,PAKISTAN,0,0,10000,789634
PH,PHILIPPINES,5114,792263,172658,16868079
RU,RUSSIAN FEDERATION,0,0,1984,413325
SA,SAUDI ARABIA,48000,3612443,48000,3612443
SG,SINGAPORE,150,219,57875,3704031
ZA,SOUTH AFRICA,18300,709354,167975,9275533
CH,SWITZERLAND,0,0,96,849
TW,"TAIWAN, PROVINCE OF CHINA",45603,4258715,284273,26525475
AE,UNITED ARAB EMIRATES,0,0,264000,8214044
US,UNITED STATES,34000,1928119,136300,8104811
VN,VIETNAM,156714,7442388,978397,61517954
SUM,SUM,1624106,108708589,13609537,1023171200
