"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2017', 'Quantity')","('Apr 2017', 'FOB (Baht)')","('Jan - Apr 2017', 'Quantity')","('Jan - Apr 2017', 'FOB (Baht)')"
AU,AUSTRALIA,966920,49380639,1154790,59117910
BD,BANGLADESH,44550,2152405,44550,2152405
BE,BELGIUM,79200,4845508,79200,4845508
BT,BHUTAN,198000,9367389,247500,11719938
CN,CHINA,22339310,1123236061,23636820,1202862398
DE,GERMANY,1375,85414,1375,85414
HK,HONG KONG,91800,5260541,91800,5260541
IN,INDIA,4627050,224851971,5279350,257527796
ID,INDONESIA,6487250,310608077,7133200,344058462
JP,JAPAN,5194450,264544451,5869700,302220653
KR,"KOREA,REPUBLIC OF",1279775,76220809,1717025,104804593
MY,MALAYSIA,2260060,102591383,2359710,107382338
MM,MYANMAR,74250,3166523,74250,3166523
NP,NEPAL,24750,1074329,44550,2372340
NZ,NEW ZEALAND,424360,21273259,517610,26123193
PK,PAKISTAN,168300,8189565,188100,9462560
PH,PHILIPPINES,799150,36686125,1014150,46407870
SG,SINGAPORE,296700,13940489,474900,26838011
LK,SRI LANKA,99500,4912886,124250,6130105
TW,"TAIWAN, PROVINCE OF CHINA",912640,44280961,1052990,53616746
US,UNITED STATES,17600,1029560,17600,1029560
VN,VIETNAM,978100,62737203,1008650,64710216
SUM,SUM,47365090,2370435548,52132070,2641895080
