"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2013', 'Quantity')","('Jan 2013', 'FOB (Baht)')","('Jan - Jan 2013', 'Quantity')","('Jan - Jan 2013', 'FOB (Baht)')"
AU,AUSTRALIA,4543,947716,4543,947716
BE,BELGIUM,163,6076,163,6076
CN,CHINA,206300,17764417,206300,17764417
IN,INDIA,234000,19143496,234000,19143496
ID,INDONESIA,39250,4113484,39250,4113484
JP,JAPAN,82525,1674158,82525,1674158
KE,KENYA,16250,459054,16250,459054
KR,"KOREA,REPUBLIC OF",52700,5987190,52700,5987190
KW,KUWAIT,0,170,0,170
LA,LAO PDR,2,900,2,900
LR,LIBERIA,48000,1591691,48000,1591691
MY,MALAYSIA,104000,5359407,104000,5359407
PH,PHILIPPINES,26543,2687465,26543,2687465
LK,SRI LANKA,100,31135,100,31135
TW,"TAIWAN, PROVINCE OF CHINA",73150,8761194,73150,8761194
SUM,SUM,887526,68527553,887526,68527553
