"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2018', 'Quantity')","('Jun 2018', 'FOB (Baht)')","('Jan - Jun 2018', 'Quantity')","('Jan - Jun 2018', 'FOB (Baht)')"
CN,CHINA,14950,1780039,52250,5830922
HK,HONG KONG,0,0,3150,187943
IN,INDIA,3000,313723,14000,1447363
ID,INDONESIA,0,0,101425,14097683
JP,JAPAN,750,59518,2922,253086
KR,"KOREA,REPUBLIC OF",12400,1129025,204400,19169644
LA,LAO PDR,14000,659250,95000,4439250
PK,PAKISTAN,1000,86685,6500,556104
PH,PHILIPPINES,0,0,90000,5023600
ZA,SOUTH AFRICA,0,0,39200,2843772
TW,"TAIWAN, PROVINCE OF CHINA",5000,548697,12500,1453903
US,UNITED STATES,0,0,30500,1748181
VN,VIETNAM,36000,2013013,234000,12424392
SUM,SUM,87100,6589950,885847,69475843
