"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2018', 'Quantity')","('Aug 2018', 'FOB (Baht)')","('Jan - Aug 2018', 'Quantity')","('Jan - Aug 2018', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,1000,38127
CN,CHINA,1074488,23676755,7653181,179058948
CI,COTE D IVOIRE,0,0,11500,871076
IN,INDIA,500,79948,500,79948
JP,JAPAN,64,2235,8864,796420
KR,"KOREA,REPUBLIC OF",0,0,449,49019
LA,LAO PDR,0,0,25050,1150233
SG,SINGAPORE,0,0,300,14772
LK,SRI LANKA,0,0,25,1128
VN,VIETNAM,0,0,3200,286360
SUM,SUM,1075052,23758938,7704069,182346031
