"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2021', 'Quantity')","('Nov 2021', 'FOB (Baht)')","('Jan - Nov 2021', 'Quantity')","('Jan - Nov 2021', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,32000,1146315
BH,BAHRAIN,0,0,102000,3747035
CA,CANADA,0,0,48000,1913371
CN,CHINA,25,1077,553475,16997189
DO,DOMINICAN REPUBLIC,0,0,21700,795431
IN,INDIA,0,0,624,319608
ID,INDONESIA,1729,59969,1729,59969
JP,JAPAN,0,0,500,20336
MY,MALAYSIA,27000,567000,52600,1330034
MM,MYANMAR,0,0,105100,2820698
NZ,NEW ZEALAND,0,0,48450,2159808
SG,SINGAPORE,0,0,227,147662
ZA,SOUTH AFRICA,57200,3775200,738800,35821560
TW,"TAIWAN, PROVINCE OF CHINA",0,0,51000,1904579
AE,UNITED ARAB EMIRATES,0,0,51000,1829512
US,UNITED STATES,0,0,13247,4775385
SUM,SUM,85954,4403246,1820452,75788492
