"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2021', 'Quantity')","('Feb 2021', 'FOB (Baht)')","('Jan - Feb 2021', 'Quantity')","('Jan - Feb 2021', 'FOB (Baht)')"
CN,CHINA,9356350,616449568,15754225,1043841842
IN,INDIA,238000,15576890,491000,30068412
ID,INDONESIA,35000,2279747,35000,2279747
LA,LAO PDR,0,0,480,67848
MY,MALAYSIA,120000,7982655,137964,9161229
PK,PAKISTAN,0,0,19500,1081040
PH,PHILIPPINES,34368,3591657,38093,3863101
SG,SINGAPORE,12000,846376,12200,854235
US,UNITED STATES,18000,1204859,18000,1204859
VN,VIETNAM,0,0,61200,4009098
SUM,SUM,9813718,647931752,16567662,1096431411
