"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2022', 'Quantity')","('Apr 2022', 'FOB (Baht)')","('Jan - Apr 2022', 'Quantity')","('Jan - Apr 2022', 'FOB (Baht)')"
CN,CHINA,94000,3991565,279350,13150304
HK,HONG KONG,72000,3057369,219000,9274735
IN,INDIA,0,0,600,26547
ID,INDONESIA,50100,2883280,247500,12027351
JP,JAPAN,0,0,100,2847
KR,"KOREA,REPUBLIC OF",28000,3559082,71000,9707680
PK,PAKISTAN,10000,840043,28000,2363210
PH,PHILIPPINES,0,0,50400,3126312
TW,"TAIWAN, PROVINCE OF CHINA",0,0,3000,362922
US,UNITED STATES,0,0,9800,594057
VN,VIETNAM,12000,857771,192675,11481390
SUM,SUM,266100,15189110,1101425,62117355
