"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2021', 'Quantity')","('Jun 2021', 'FOB (Baht)')","('Jan - Jun 2021', 'Quantity')","('Jan - Jun 2021', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,6000,640913
CN,CHINA,0,0,12050,7025027
HK,HONG KONG,0,0,9350,717545
IN,INDIA,1000,207742,14000,1569896
ID,INDONESIA,2250,206811,47450,5535484
JP,JAPAN,0,0,181500,10250304
KR,"KOREA,REPUBLIC OF",28000,3004470,111000,12318873
LA,LAO PDR,0,0,11000,444000
MY,MALAYSIA,0,0,100,4403
PK,PAKISTAN,1600,105424,13900,768725
PH,PHILIPPINES,14050,858511,134475,7968097
SG,SINGAPORE,0,0,11500,1439979
US,UNITED STATES,9800,606615,19600,1127946
VN,VIETNAM,70000,4111357,264000,14326492
SUM,SUM,126700,9100930,835925,64137684
