"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2022', 'Quantity')","('Dec 2022', 'FOB (Baht)')","('Jan - Dec 2022', 'Quantity')","('Jan - Dec 2022', 'FOB (Baht)')"
AU,AUSTRALIA,6,11095,312428,51307407
AT,AUSTRIA,0,0,2,733
BD,BANGLADESH,0,0,609,33570
BE,BELGIUM,1,4401,1,4401
BR,BRAZIL,0,0,2,138119
CA,CANADA,0,0,2,64
CN,CHINA,280576,7898823,1254774,45407283
DK,DENMARK,0,0,5,1648
EE,ESTONIA,10,822,10,822
FI,FINLAND,0,0,2,4525
FR,FRANCE,759,386886,2904,1313084
DE,GERMANY,46,7592,128,27462
HK,HONG KONG,0,0,53,18989
IN,INDIA,0,0,1504,203024
ID,INDONESIA,2000,169118,31500,2674896
IE,IRELAND,0,0,590,298117
IL,ISRAEL,0,0,5,460
IT,ITALY,0,0,30,9915
JP,JAPAN,119198,5332147,1778732,85759011
KR,"KOREA,REPUBLIC OF",5150,507314,125358,11191435
LA,LAO PDR,0,0,132000,5708022
MY,MALAYSIA,9943,1820347,43746,8647197
MU,MAURITIUS,60,7335,60,7335
MX,MEXICO,0,0,2,364
NL,NETHERLANDS,0,0,627,93128
NO,NORWAY,0,0,18,3723
PK,PAKISTAN,0,0,4800,629781
PL,POLAND,0,0,17,598
SG,SINGAPORE,1,71,121,28677
LK,SRI LANKA,0,0,11,4243
SE,SWEDEN,0,0,2,6561
CH,SWITZERLAND,9,179,38,3899
TW,"TAIWAN, PROVINCE OF CHINA",0,0,27,6157
TR,TÜRKIYE,0,0,16675,2764050
AE,UNITED ARAB EMIRATES,0,0,323,108957
GB,UNITED KINGDOM,1,73,767,347936
US,UNITED STATES,175,83817,4966,1776024
VN,VIETNAM,0,0,73799,7196279
SUM,SUM,417935,16230020,3786638,225727896
