"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2013', 'Quantity')","('Feb 2013', 'FOB (Baht)')","('Jan - Feb 2013', 'Quantity')","('Jan - Feb 2013', 'FOB (Baht)')"
AU,AUSTRALIA,15000,1453730,19543,2401446
BE,BELGIUM,0,0,163,6076
CN,CHINA,264800,22007906,471100,39772323
IN,INDIA,214325,16493928,448325,35637424
ID,INDONESIA,15754,1471407,55004,5584891
JP,JAPAN,52880,1376164,135405,3050322
KE,KENYA,0,0,16250,459054
KR,"KOREA,REPUBLIC OF",32000,1806215,84700,7793405
KW,KUWAIT,0,203,0,373
LA,LAO PDR,0,0,2,900
LR,LIBERIA,32000,1039684,80000,2631375
MY,MALAYSIA,92150,3463680,196150,8823087
MM,MYANMAR,1000,84600,1000,84600
PK,PAKISTAN,600,36222,600,36222
PH,PHILIPPINES,268,54744,26811,2742209
LK,SRI LANKA,0,0,100,31135
TW,"TAIWAN, PROVINCE OF CHINA",31875,2304827,105025,11066021
VN,VIETNAM,1050,60224,1050,60224
SUM,SUM,753702,51653534,1641228,120181087
