"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2017', 'Quantity')","('Oct 2017', 'FOB (Baht)')","('Jan - Oct 2017', 'Quantity')","('Jan - Oct 2017', 'FOB (Baht)')"
AT,AUSTRIA,0,0,650,22782
BD,BANGLADESH,4000,195910,35500,1793816
BN,BRUNEI DARUSSALAM,0,0,30000,1255255
CN,CHINA,400,89629,10900,2904041
FR,FRANCE,0,0,48,14467
IN,INDIA,0,0,5200,319311
ID,INDONESIA,448000,20240980,4440800,203117927
JP,JAPAN,1100,120747,4225,321868
KR,"KOREA,REPUBLIC OF",100,7520,31750,1235368
LA,LAO PDR,45000,1909252,270000,10803828
MY,MALAYSIA,0,0,8031,529025
NO,NORWAY,0,0,400,19999
PK,PAKISTAN,200,19282,32325,3015124
TW,"TAIWAN, PROVINCE OF CHINA",275,57221,875,134099
TR,TÜRKIYE,3600,274272,7200,551295
AE,UNITED ARAB EMIRATES,0,0,100,3941
US,UNITED STATES,0,0,4100,333713
VN,VIETNAM,13900,1236759,26050,2385169
SUM,SUM,516575,24151572,4908154,228761028
