"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2017', 'Quantity')","('Jan 2017', 'FOB (Baht)')","('Jan - Jan 2017', 'Quantity')","('Jan - Jan 2017', 'FOB (Baht)')"
DZ,ALGERIA,16000,441670,16000,441670
AU,AUSTRALIA,60000,2511041,60000,2511041
BR,BRAZIL,72000,5858077,72000,5858077
CN,CHINA,89114,8074061,89114,8074061
IN,INDIA,394225,35547531,394225,35547531
ID,INDONESIA,330757,28176416,330757,28176416
JP,JAPAN,700,116916,700,116916
MY,MALAYSIA,40850,3379506,40850,3379506
PH,PHILIPPINES,22849,2350113,22849,2350113
CH,SWITZERLAND,96,849,96,849
TW,"TAIWAN, PROVINCE OF CHINA",38850,3616698,38850,3616698
AE,UNITED ARAB EMIRATES,36000,2288690,36000,2288690
VN,VIETNAM,45250,4319799,45250,4319799
SUM,SUM,1146691,96681367,1146691,96681367
