"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2016', 'Quantity')","('Nov 2016', 'FOB (Baht)')","('Jan - Nov 2016', 'Quantity')","('Jan - Nov 2016', 'FOB (Baht)')"
BD,BANGLADESH,16250,393866,37000,990896
BN,BRUNEI DARUSSALAM,10000,410380,44000,1795463
KH,CAMBODIA,0,0,5000,267947
CN,CHINA,0,0,100,104
HK,HONG KONG,0,0,2150,113858
IN,INDIA,1000,54248,5403,377176
ID,INDONESIA,480000,22008367,4907050,235339636
JP,JAPAN,42,1471,3542,185755
KR,"KOREA,REPUBLIC OF",0,0,196940,6821501
MY,MALAYSIA,0,0,29050,1941121
PK,PAKISTAN,10000,907619,84275,7834553
SG,SINGAPORE,0,0,50,1748
ZA,SOUTH AFRICA,0,0,14,100
TW,"TAIWAN, PROVINCE OF CHINA",0,0,926,74977
US,UNITED STATES,0,0,1992,288543
VN,VIETNAM,0,0,251000,9933297
SUM,SUM,517292,23775951,5568492,265966675
