"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2013', 'Quantity')","('Mar 2013', 'FOB (Baht)')","('Jan - Mar 2013', 'Quantity')","('Jan - Mar 2013', 'FOB (Baht)')"
AU,AUSTRALIA,3200,323386,3215,324836
KH,CAMBODIA,8987,1802000,130093,26076000
CA,CANADA,0,0,3000,106331
CN,CHINA,0,0,2000,257074
HK,HONG KONG,5505,531774,5583,612321
ID,INDONESIA,0,0,20000,354438
JP,JAPAN,201,12471,63802,8082382
KE,KENYA,0,0,14250,883879
KR,"KOREA,REPUBLIC OF",0,0,47,4350
LA,LAO PDR,125,11500,125,11500
NG,NIGERIA,0,0,15000,956837
PH,PHILIPPINES,600,64587,640,84330
SG,SINGAPORE,3407,726479,3442,729629
LK,SRI LANKA,10000,636036,28000,1650052
TW,"TAIWAN, PROVINCE OF CHINA",0,0,31,2930
GB,UNITED KINGDOM,13,2949,16,3372
US,UNITED STATES,0,0,44,72128
VN,VIETNAM,255,25405,258,25406
ZW,ZIMBABWE,0,0,150,2953
SUM,SUM,32293,4136587,289696,40240748
