"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2018', 'Quantity')","('May 2018', 'FOB (Baht)')","('Jan - May 2018', 'Quantity')","('Jan - May 2018', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,60020,1388707
BD,BANGLADESH,0,0,16275,219246
BE,BELGIUM,120000,12117088,672000,66790444
KH,CAMBODIA,0,0,60,19973
CN,CHINA,168770,11315724,981970,44723976
CI,COTE D IVOIRE,0,0,16250,395016
EG,EGYPT,0,0,48625,3040187
GA,GABON,0,0,32000,751008
DE,GERMANY,0,0,1,31
GH,GHANA,0,0,16250,377169
HK,HONG KONG,54275,1782772,100791,3295700
IN,INDIA,827775,58955155,3353460,250401445
ID,INDONESIA,175100,13289576,1369297,101575895
JP,JAPAN,224512,14882301,474563,31150867
KR,"KOREA,REPUBLIC OF",39600,3211296,91401,7432172
LA,LAO PDR,62,18353,307,143991
MY,MALAYSIA,38251,3728040,177303,16694514
MU,MAURITIUS,32400,783460,64800,1571216
MZ,MOZAMBIQUE,48750,1133478,130000,3022209
MM,MYANMAR,0,0,37,15
NP,NEPAL,0,0,52000,1786272
PK,PAKISTAN,0,0,455,122739
PH,PHILIPPINES,37731,3184943,147428,14687829
QA,QATAR,0,0,6600,1142412
SA,SAUDI ARABIA,0,0,48450,3742010
SG,SINGAPORE,0,0,348,81376
ZA,SOUTH AFRICA,17950,77906,57150,1851691
LK,SRI LANKA,0,0,58000,1765772
TW,"TAIWAN, PROVINCE OF CHINA",56000,4879154,173480,14627143
AE,UNITED ARAB EMIRATES,0,0,75000,1800463
US,UNITED STATES,16000,929666,50000,2969610
VN,VIETNAM,109490,5650517,356347,21279665
SUM,SUM,1966666,135939429,8630668,598850763
