"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2014', 'Quantity')","('Sept 2014', 'FOB (Baht)')","('Jan - Sept 2014', 'Quantity')","('Jan - Sept 2014', 'FOB (Baht)')"
DZ,ALGERIA,56800,3541883,769800,45678931
AO,ANGOLA,101500,5663771,699800,38671201
AU,AUSTRALIA,878600,48324308,6204450,335724008
BD,BANGLADESH,143200,7713294,1811500,93471417
BE,BELGIUM,0,0,2428525,127247609
BJ,BENIN,0,0,17600,939330
BR,BRAZIL,67500,3547393,3958850,196605858
BN,BRUNEI DARUSSALAM,0,0,6000,311229
BG,BULGARIA,0,0,34500,1770765
KH,CAMBODIA,210000,12231684,2963325,165376908
CM,CAMEROON,0,0,36000,1779635
CV,CAPE VERDE,18000,890887,18000,890887
CN,CHINA,8352325,436065896,110214430,5649647675
CO,COLOMBIA,48000,2609607,48000,2609607
CG,CONGO,0,0,50000,2536911
CI,COTE D IVOIRE,234000,11745459,2826000,139057854
DK,DENMARK,0,0,136000,6818913
DJ,DJIBOUTI,18000,917970,288000,14379588
EC,ECUADOR,52800,2824992,209800,11011197
SV,EL SALVADOR,0,0,54000,2826428
FJ,FIJI,36700,2196253,207250,12788743
FI,FINLAND,120000,6614021,796000,44563090
FR,FRANCE,0,0,1420000,76716995
PF,FRENCH POLYNESIA,0,0,148750,8517564
GA,GABON,0,0,27700,1616752
GM,GAMBIA,18000,895163,46000,2530640
DE,GERMANY,160000,9340203,1792000,106497900
GH,GHANA,378000,18839774,3570000,175739642
GR,GREECE,48000,2583236,623975,35550948
IN,INDIA,193650,10639983,5442325,283446165
ID,INDONESIA,2056085,109850924,41847800,2165970308
IL,ISRAEL,893400,47379848,7404699,401723791
JM,JAMAICA,52000,3007318,77500,4521268
JP,JAPAN,1200975,63169841,9040274,475304835
KZ,KAZAKHSTAN,0,0,126000,6441974
KE,KENYA,72000,3626268,517300,28088908
KR,"KOREA,REPUBLIC OF",0,0,92125,10551521
LA,LAO PDR,55000,2885681,257000,13457810
LV,LATVIA,71000,4273092,142000,8515631
LB,LEBANON,0,0,105600,5775526
LR,LIBERIA,48000,2444120,110900,5766865
LY,LIBYAN ARAB JAMAHIRIYA,0,0,490800,29560368
LT,LITHUANIA,0,0,105300,5608230
MG,MADAGASCAR,13500,785066,129500,7355177
MY,MALAYSIA,861250,45724110,8708000,461495061
MV,MALDIVES,0,0,35200,1822024
ML,MALI,54000,3147327,162000,9241761
MU,MAURITIUS,146150,8505469,684250,38952511
MZ,MOZAMBIQUE,139500,7451460,878900,48353556
MM,MYANMAR,108000,5485966,383075,21974783
NL,NETHERLANDS,20000,1226670,221500,12822944
NC,NEW CALEDONIA,36000,1853045,225500,12076692
NZ,NEW ZEALAND,173500,10403943,2324775,131436821
OM,OMAN,0,0,352000,18793157
PK,PAKISTAN,0,0,360000,18984258
PG,PAPUA NEW GUINEA,47000,2426696,241800,14570170
PE,PERU,0,0,188875,9652382
PH,PHILIPPINES,885750,46649602,4561675,239057440
PL,POLAND,105000,5979985,1453175,82203102
PT,PORTUGAL,0,0,799500,40660604
RE,REUNION,30500,1708927,329500,18891905
RO,ROMANIA,0,0,384000,21193146
RU,RUSSIAN FEDERATION,665000,34135006,4428800,231381266
SN,SENEGAL,48000,2444120,229400,12634739
SL,SIERRA LEONE,0,0,81000,4655358
SG,SINGAPORE,44000,2272436,151825,8267516
SI,SLOVENIA,0,0,184500,9526181
SB,SOLOMON ISLANDS,0,0,2500,127380
ZA,SOUTH AFRICA,185100,10693371,1466670,77207825
ES,SPAIN,24375,1257093,765750,39653441
LK,SRI LANKA,31100,1702794,722500,38313285
SD,SUDAN,0,0,605175,33994965
SE,SWEDEN,24000,1530267,648000,37166800
TW,"TAIWAN, PROVINCE OF CHINA",20500,1234333,235725,13273853
TZ,TANZANIA UNITED REPUBLIC OF,28400,1705182,595600,31988037
TG,TOGO,450000,22416152,2214000,109518177
TR,TÜRKIYE,104100,6375589,1397600,78079815
UA,UKRAINE,0,0,1223525,66004612
AE,UNITED ARAB EMIRATES,556000,28514881,4132300,211540470
GB,UNITED KINGDOM,52500,2978114,199375,11211911
UY,URUGUAY,90500,5005007,165000,8940400
VN,VIETNAM,1074800,57914345,10125660,532470445
SUM,SUM,21602060,1145349825,259164008,13512105395
