"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2012', 'Quantity')","('Mar 2012', 'FOB (Baht)')","('Jan - Mar 2012', 'Quantity')","('Jan - Mar 2012', 'FOB (Baht)')"
BE,BELGIUM,0,0,52,2068
GH,GHANA,0,0,9200,267386
HK,HONG KONG,2,610,2,610
IN,INDIA,0,0,50,5092
ID,INDONESIA,9,716,2209,115823
JP,JAPAN,0,0,18,1433
KE,KENYA,0,0,13500,868015
KR,"KOREA,REPUBLIC OF",25,2083,25,2083
NG,NIGERIA,0,0,150,3528
SG,SINGAPORE,0,0,11000,568012
LK,SRI LANKA,0,0,20250,664927
SUM,SUM,36,3409,56456,2498977
