"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2017', 'Quantity')","('Sept 2017', 'FOB (Baht)')","('Jan - Sept 2017', 'Quantity')","('Jan - Sept 2017', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,3,13645
HK,HONG KONG,340,3795,870,46882
ID,INDONESIA,5000,264736,165400,8661850
JP,JAPAN,0,0,180,3600
LA,LAO PDR,2040,97970,19541,942242
MM,MYANMAR,0,0,13000,539500
NO,NORWAY,0,0,50,2500
PK,PAKISTAN,12000,633453,68800,3667284
PH,PHILIPPINES,0,0,19825,1147285
SG,SINGAPORE,2,396,94,13513
TW,"TAIWAN, PROVINCE OF CHINA",5000,292925,34000,1965439
US,UNITED STATES,0,0,26,862
VN,VIETNAM,0,0,156,1500
SUM,SUM,24382,1293275,321945,17006102
