"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2016', 'Quantity')","('Jan 2016', 'FOB (Baht)')","('Jan - Jan 2016', 'Quantity')","('Jan - Jan 2016', 'FOB (Baht)')"
BD,BANGLADESH,357000,17560639,357000,17560639
CN,CHINA,4606000,228726383,4606000,228726383
IN,INDIA,2326000,112471868,2326000,112471868
ID,INDONESIA,74000,3832116,74000,3832116
LA,LAO PDR,52,85835,52,85835
PH,PHILIPPINES,875,106461,875,106461
SA,SAUDI ARABIA,24000,1265538,24000,1265538
US,UNITED STATES,57000,3120632,57000,3120632
VN,VIETNAM,15000,826956,15000,826956
SUM,SUM,7459927,367996428,7459927,367996428
