"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2014', 'Quantity')","('Aug 2014', 'FOB (Baht)')","('Jan - Aug 2014', 'Quantity')","('Jan - Aug 2014', 'FOB (Baht)')"
DZ,ALGERIA,0,0,713000,42137048
AO,ANGOLA,180000,9011557,598300,33007430
AU,AUSTRALIA,847000,45835601,5325850,287399700
BD,BANGLADESH,247000,13222415,1668300,85758123
BE,BELGIUM,216000,12298807,2428525,127247609
BJ,BENIN,0,0,17600,939330
BR,BRAZIL,281450,14548287,3891350,193058465
BN,BRUNEI DARUSSALAM,0,0,6000,311229
BG,BULGARIA,0,0,34500,1770765
KH,CAMBODIA,285000,16008845,2753325,153145224
CM,CAMEROON,0,0,36000,1779635
CN,CHINA,9255600,486914720,101862105,5213581779
CG,CONGO,0,0,50000,2536911
CI,COTE D IVOIRE,0,0,2592000,127312395
DK,DENMARK,0,0,136000,6818913
DJ,DJIBOUTI,0,0,270000,13461618
EC,ECUADOR,1000,64025,157000,8186205
SV,EL SALVADOR,54000,2826428,54000,2826428
FJ,FIJI,30200,1857645,170550,10592490
FI,FINLAND,48000,2868350,676000,37949069
FR,FRANCE,110000,6252402,1420000,76716995
PF,FRENCH POLYNESIA,13750,811016,148750,8517564
GA,GABON,0,0,27700,1616752
GM,GAMBIA,0,0,28000,1635477
DE,GERMANY,284000,16751609,1632000,97157697
GH,GHANA,360000,18088758,3192000,156899868
GR,GREECE,144000,8739541,575975,32967712
IN,INDIA,322700,19117157,5248675,272806182
ID,INDONESIA,1946480,102225852,39791715,2056119384
IL,ISRAEL,917000,48281333,6511299,354343943
JM,JAMAICA,0,0,25500,1513950
JP,JAPAN,858550,45230245,7839299,412134994
KZ,KAZAKHSTAN,36000,1849402,126000,6441974
KE,KENYA,14200,854365,445300,24462640
KR,"KOREA,REPUBLIC OF",28000,3203101,92125,10551521
LA,LAO PDR,9000,469960,202000,10572129
LV,LATVIA,14200,855570,71000,4242539
LB,LEBANON,35200,1916262,105600,5775526
LR,LIBERIA,0,0,62900,3322745
LY,LIBYAN ARAB JAMAHIRIYA,0,0,490800,29560368
LT,LITHUANIA,0,0,105300,5608230
MG,MADAGASCAR,31000,1742038,116000,6570111
MY,MALAYSIA,610100,32219484,7846750,415770951
MV,MALDIVES,0,0,35200,1822024
ML,MALI,0,0,108000,6094434
MU,MAURITIUS,39200,2248194,538100,30447042
MZ,MOZAMBIQUE,36000,1853842,739400,40902096
MM,MYANMAR,28400,1913665,275075,16488817
NL,NETHERLANDS,24000,1309139,201500,11596274
NC,NEW CALEDONIA,13750,802295,189500,10223647
NZ,NEW ZEALAND,297400,16618598,2151275,121032878
OM,OMAN,88000,4808384,352000,18793157
PK,PAKISTAN,0,0,360000,18984258
PG,PAPUA NEW GUINEA,14000,936573,194800,12143474
PE,PERU,375,25216,188875,9652382
PH,PHILIPPINES,344000,17777029,3675925,192407838
PL,POLAND,150000,8569459,1348175,76223117
PT,PORTUGAL,0,0,799500,40660604
RE,REUNION,44000,2502170,299000,17182978
RO,ROMANIA,0,0,384000,21193146
RU,RUSSIAN FEDERATION,768000,39383528,3763800,197246260
SN,SENEGAL,13500,787391,181400,10190619
SL,SIERRA LEONE,40500,2330065,81000,4655358
SG,SINGAPORE,47950,2740257,107825,5995080
SI,SLOVENIA,0,0,184500,9526181
SB,SOLOMON ISLANDS,0,0,2500,127380
ZA,SOUTH AFRICA,90000,4535032,1281570,66514454
ES,SPAIN,217875,11123074,741375,38396348
LK,SRI LANKA,0,0,691400,36610491
SD,SUDAN,70400,3891864,605175,33994965
SE,SWEDEN,0,0,624000,35636533
TW,"TAIWAN, PROVINCE OF CHINA",150,9512,215225,12039520
TZ,TANZANIA UNITED REPUBLIC OF,105600,5723519,567200,30282855
TG,TOGO,0,0,1764000,87102025
TR,TÜRKIYE,14200,876063,1293500,71704226
UA,UKRAINE,0,0,1223525,66004612
AE,UNITED ARAB EMIRATES,429600,22050482,3576300,183025589
GB,UNITED KINGDOM,35000,1987632,146875,8233797
UY,URUGUAY,74500,3935393,74500,3935393
VN,VIETNAM,1145025,61712823,9050860,474556100
SUM,SUM,21310855,1134515974,237561948,12366755570
