"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2016', 'Quantity')","('Oct 2016', 'FOB (Baht)')","('Jan - Oct 2016', 'Quantity')","('Jan - Oct 2016', 'FOB (Baht)')"
AS,AMERICAN SAMOA,14200,844941,14200,844941
AO,ANGOLA,0,0,191050,8955186
AR,ARGENTINA,0,0,108000,4127127
AU,AUSTRALIA,607400,26387180,7057450,311036283
BH,BAHRAIN,24000,1099962,220800,9885819
BD,BANGLADESH,198000,8264772,3218500,148238627
BE,BELGIUM,0,0,1726000,75595862
BR,BRAZIL,157500,6612723,265500,10926038
BN,BRUNEI DARUSSALAM,3000,126168,10000,420068
KH,CAMBODIA,572224,24840518,4402499,212821205
CM,CAMEROON,18000,708672,504000,19747671
CA,CANADA,12000,551189,691500,37086240
CV,CAPE VERDE,0,0,54000,2621871
CL,CHILE,162000,6695090,598500,25089829
CN,CHINA,9901775,434735457,66958610,2970318981
CO,COLOMBIA,0,0,234000,9656656
CG,CONGO,0,0,41975,2396641
CI,COTE D IVOIRE,0,0,1548050,60366746
DK,DENMARK,0,0,34000,1456030
DJ,DJIBOUTI,0,0,864000,36850876
EC,ECUADOR,0,0,269000,10964763
EG,EGYPT,0,0,46500,2039700
FJ,FIJI,74800,4092953,438875,22973357
FI,FINLAND,0,0,1375,62847
FR,FRANCE,0,0,429000,21898058
PF,FRENCH POLYNESIA,13500,722659,139400,6925941
GA,GABON,18000,719551,188600,7733561
GM,GAMBIA,0,0,67800,3114894
DE,GERMANY,315850,16201306,3592400,184598450
GH,GHANA,90000,3597755,3863100,151787430
GR,GREECE,47850,2945586,240600,12644714
GN,GUINEA,28375,1646316,154975,9184049
HK,HONG KONG,50,2123,17500,790677
IN,INDIA,339850,15865343,3812175,180210082
ID,INDONESIA,1491825,65339377,34823630,1486054207
IL,ISRAEL,356050,18256534,8117525,385776210
JP,JAPAN,1614850,67798074,18937475,781419062
KZ,KAZAKHSTAN,0,0,503000,21645810
KE,KENYA,28400,1531312,1079025,53383509
KR,"KOREA,REPUBLIC OF",20000,2345042,286400,34219650
LA,LAO PDR,48079,2589448,382156,17036211
LV,LATVIA,0,0,79325,3914722
LY,LIBYAN ARAB JAMAHIRIYA,0,0,12000,738886
MG,MADAGASCAR,40500,2033850,190300,9907174
MY,MALAYSIA,1382625,60020549,11166825,480033468
MV,MALDIVES,0,0,14000,605373
ML,MALI,0,0,162000,8081260
MU,MAURITIUS,115900,6184213,852325,44903423
YT,MAYOTTE,0,0,13500,706912
MZ,MOZAMBIQUE,70000,3070222,997800,42326899
MM,MYANMAR,228000,9964732,2088100,90469319
NL,NETHERLANDS,22000,1112986,246000,12789141
NC,NEW CALEDONIA,18000,745971,224950,10841138
NZ,NEW ZEALAND,212000,10720607,3181700,141504320
NG,NIGERIA,646000,12594478,2449000,60264553
OM,OMAN,528000,23317882,1214400,53725785
PK,PAKISTAN,0,0,202300,11918396
PG,PAPUA NEW GUINEA,0,0,276000,12701264
PE,PERU,0,0,414000,17133092
PH,PHILIPPINES,360500,16068695,3053700,135529074
PL,POLAND,0,0,490000,22484532
PT,PORTUGAL,0,0,114500,5123784
QA,QATAR,0,0,139575,8335025
RE,REUNION,36500,1913330,337500,17124256
RO,ROMANIA,54000,2181965,103000,4421490
RU,RUSSIAN FEDERATION,239000,9712887,2942725,126884724
SN,SENEGAL,0,0,461225,22567032
SC,SEYCHELLES,0,0,10000,780714
SL,SIERRA LEONE,27000,1361397,351000,16187811
SG,SINGAPORE,100375,4337052,782175,34067045
SK,SLOVAKIA,0,0,48750,2080392
SI,SLOVENIA,0,0,457500,18573109
SO,SOMALIA,0,0,8006,832216
ZA,SOUTH AFRICA,106500,4281043,2788025,117451497
ES,SPAIN,0,0,146250,6477158
LK,SRI LANKA,98100,4385226,890525,40854175
SD,SUDAN,0,0,13500,650878
SE,SWEDEN,0,0,116950,6905016
CH,SWITZERLAND,0,0,200,8319
TW,"TAIWAN, PROVINCE OF CHINA",64500,3341707,471850,24868352
TZ,TANZANIA UNITED REPUBLIC OF,0,0,95900,4271461
TG,TOGO,0,0,2394000,93114037
TR,TÜRKIYE,28400,1588258,750975,39825946
UA,UKRAINE,69575,3325620,725975,33284627
AE,UNITED ARAB EMIRATES,397750,18152932,2365450,107758083
GB,UNITED KINGDOM,0,0,83000,3590727
US,UNITED STATES,0,0,50,1974
UY,URUGUAY,0,0,22000,931816
VN,VIETNAM,2070525,95433081,16101410,730486206
YE,YEMEN,0,0,35300,1665441
SUM,SUM,23073328,1010368734,226218686,9972607921
