"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2014', 'Quantity')","('May 2014', 'FOB (Baht)')","('Jan - May 2014', 'Quantity')","('Jan - May 2014', 'FOB (Baht)')"
AU,AUSTRALIA,5000,143574,27000,673278
KH,CAMBODIA,30000,1474419,209975,10527846
CN,CHINA,0,0,20000,1625528
IN,INDIA,0,0,17500,539242
ID,INDONESIA,17000,1049143,59050,3581954
JP,JAPAN,15500,840406,63150,3389881
MY,MALAYSIA,0,0,20018,1084596
MM,MYANMAR,0,0,49500,1737379
NZ,NEW ZEALAND,0,0,12000,418914
PK,PAKISTAN,0,0,15000,653657
US,UNITED STATES,0,0,1600,82789
SUM,SUM,67500,3507542,494793,24315064
