"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2022', 'Quantity')","('Mar 2022', 'FOB (Baht)')","('Jan - Mar 2022', 'Quantity')","('Jan - Mar 2022', 'FOB (Baht)')"
AO,ANGOLA,51000,2526327,103500,4817827
AU,AUSTRALIA,1530900,69415719,3035630,139671612
BD,BANGLADESH,151000,8475484,667500,32265456
BE,BELGIUM,0,0,12000,1326840
KH,CAMBODIA,434300,20937644,1248300,59061917
CM,CAMEROON,49500,2483663,49500,2483663
CA,CANADA,72000,3405507,246000,12736985
CN,CHINA,7438475,377159193,28420095,1413201575
CG,CONGO,133500,6665765,167500,8478308
DJ,DJIBOUTI,454500,18297784,1270000,55710747
FJ,FIJI,90000,4669152,268000,14277600
PF,FRENCH POLYNESIA,18000,949170,72000,3977849
DE,GERMANY,105703,5697118,105703,5697118
IN,INDIA,2500650,127515547,8288175,424755360
ID,INDONESIA,7470000,367534303,26496240,1248373755
IL,ISRAEL,0,0,37000,1606966
JP,JAPAN,2378752,118713328,6270252,316039399
KE,KENYA,0,0,200,9815
KR,"KOREA,REPUBLIC OF",147750,7440518,1150250,59451568
LA,LAO PDR,744000,36101853,1608000,79871239
MG,MADAGASCAR,70000,1968650,70000,1968650
MY,MALAYSIA,1329280,63487398,4232190,201303360
MU,MAURITIUS,0,0,10000,557682
MZ,MOZAMBIQUE,0,0,198000,10636761
MM,MYANMAR,1199500,61974464,4709913,231023543
NP,NEPAL,2000,175203,2000,175203
NC,NEW CALEDONIA,53000,2620924,87000,4105244
NZ,NEW ZEALAND,232480,11621512,491740,25438796
PG,PAPUA NEW GUINEA,20500,1029546,46500,2344306
PH,PHILIPPINES,1234250,57348876,2358500,114322233
PT,PORTUGAL,193000,8116206,1646500,70829950
QA,QATAR,4000,174863,4000,174863
RE,REUNION,34000,1849124,51000,2787881
RU,RUSSIAN FEDERATION,0,0,10000,433282
SN,SENEGAL,0,0,25000,940215
SG,SINGAPORE,11000,578419,119350,6589789
ZA,SOUTH AFRICA,0,0,631000,33041557
ES,SPAIN,207000,9260005,315000,13578121
LK,SRI LANKA,69500,3032157,140500,6417600
CH,SWITZERLAND,52,1662,73,2453
TW,"TAIWAN, PROVINCE OF CHINA",1282250,68171926,4369000,232512157
TZ,TANZANIA UNITED REPUBLIC OF,0,0,261500,12678034
TR,TÜRKIYE,0,0,106700,5881773
UA,UKRAINE,0,0,68250,3113601
AE,UNITED ARAB EMIRATES,108000,5280840,109002,5338861
US,UNITED STATES,19200,963360,35200,1784335
VN,VIETNAM,8876272,433019334,23506604,1091906537
SUM,SUM,38715314,1908662544,123120367,5963702386
