"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2016', 'Quantity')","('Dec 2016', 'FOB (Baht)')","('Jan - Dec 2016', 'Quantity')","('Jan - Dec 2016', 'FOB (Baht)')"
AR,ARGENTINA,0,0,25,1726
AU,AUSTRALIA,1015065,50551098,5566458,307628636
AT,AUSTRIA,50,2421,200,118599
BD,BANGLADESH,367320,16303757,1880550,87364536
BE,BELGIUM,0,0,933300,58783814
BT,BHUTAN,181500,8389451,280500,12923897
BR,BRAZIL,0,0,25,1726
KH,CAMBODIA,0,0,12000,593043
CM,CAMEROON,0,0,200,33154
CN,CHINA,30947358,1671905475,193707967,10870442271
ET,ETHIOPIA,0,0,16000,470906
FJ,FIJI,0,0,38000,1717044
DE,GERMANY,0,0,225400,15303759
GH,GHANA,0,0,48000,1298185
HK,HONG KONG,51100,3720681,1289847,71851167
IN,INDIA,4109225,185012524,31566297,1494187320
ID,INDONESIA,5490580,256807527,29888889,1442572088
JP,JAPAN,5998850,329217910,51027160,2819458124
KE,KENYA,34000,1060197,34000,1060197
KR,"KOREA,REPUBLIC OF",1129425,78239842,8713510,613895532
LA,LAO PDR,0,0,50676,1989663
MY,MALAYSIA,1361920,68260155,6168680,337990449
MU,MAURITIUS,0,0,34100,908613
MM,MYANMAR,156752,5992264,808445,29972421
NP,NEPAL,44550,2408014,363664,17943231
NL,NETHERLANDS,0,0,0,177
NZ,NEW ZEALAND,723575,35005996,2723235,137939463
PK,PAKISTAN,107960,4848906,310090,14251042
PG,PAPUA NEW GUINEA,0,0,50,7459
PH,PHILIPPINES,1730425,76003972,6074425,272534169
SA,SAUDI ARABIA,0,0,53400,4888990
SG,SINGAPORE,207176,13902141,3099452,212975801
ZA,SOUTH AFRICA,0,0,28400,3169114
ES,SPAIN,0,0,300,21352
LK,SRI LANKA,102300,4641234,722700,35756228
SE,SWEDEN,0,0,3,1180
CH,SWITZERLAND,0,0,324,31108
TW,"TAIWAN, PROVINCE OF CHINA",1467401,81300661,7412329,418315292
TZ,TANZANIA UNITED REPUBLIC OF,0,0,16000,497736
TR,TÜRKIYE,2000,384651,28200,2145846
AE,UNITED ARAB EMIRATES,30000,746965,30000,746965
US,UNITED STATES,20076,1246618,353525,23998955
VN,VIETNAM,1255710,84623783,9442534,664825332
SUM,SUM,56534318,2980576243,362948860,19980616310
