"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2014', 'Quantity')","('Jun 2014', 'FOB (Baht)')","('Jan - Jun 2014', 'Quantity')","('Jan - Jun 2014', 'FOB (Baht)')"
AR,ARGENTINA,118050,9128149,677350,51500055
AU,AUSTRALIA,0,0,2300,398812
BR,BRAZIL,0,0,100,10577
CN,CHINA,1050,241768,4375,449955
IN,INDIA,0,0,5000,457729
ID,INDONESIA,53075,3738671,220975,14891570
JP,JAPAN,7075,770745,46169,4057012
KR,"KOREA,REPUBLIC OF",75,12665,425,14909
MY,MALAYSIA,300,26160,300,26160
PK,PAKISTAN,0,0,2500,290059
SG,SINGAPORE,0,0,2000,311546
TW,"TAIWAN, PROVINCE OF CHINA",0,0,238,82600
VN,VIETNAM,77025,4633158,331550,21086388
SUM,SUM,256650,18551316,1293282,93577372
