"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2012', 'Quantity')","('Jan 2012', 'FOB (Baht)')","('Jan - Jan 2012', 'Quantity')","('Jan - Jan 2012', 'FOB (Baht)')"
DZ,ALGERIA,56800,2917584,56800,2917584
AR,ARGENTINA,54000,2444159,54000,2444159
AU,AUSTRALIA,2836630,129358585,2836630,129358585
BD,BANGLADESH,768000,32709315,768000,32709315
BE,BELGIUM,1806125,74537906,1806125,74537906
BR,BRAZIL,87000,3636586,87000,3636586
CN,CHINA,7653575,315885225,7653575,315885225
CO,COLOMBIA,100500,4355238,100500,4355238
EC,ECUADOR,106500,4207073,106500,4207073
FI,FINLAND,80000,3467530,80000,3467530
FR,FRANCE,192000,7143238,192000,7143238
PF,FRENCH POLYNESIA,18000,782596,18000,782596
GH,GHANA,396000,14589825,396000,14589825
HK,HONG KONG,49500,2102023,49500,2102023
IN,INDIA,3074250,131383459,3074250,131383459
ID,INDONESIA,2381830,101096227,2381830,101096227
IL,ISRAEL,17000,665361,17000,665361
IT,ITALY,501000,20476067,501000,20476067
JP,JAPAN,7479450,337233226,7479450,337233226
KR,"KOREA,REPUBLIC OF",1769380,71760848,1769380,71760848
LA,LAO PDR,197650,10831428,197650,10831428
MY,MALAYSIA,606400,25622113,606400,25622113
MU,MAURITIUS,45000,2223769,45000,2223769
MZ,MOZAMBIQUE,17600,767751,17600,767751
MM,MYANMAR,54000,2252013,54000,2252013
NC,NEW CALEDONIA,18000,726696,18000,726696
NZ,NEW ZEALAND,816090,34516774,816090,34516774
PK,PAKISTAN,24750,977235,24750,977235
PG,PAPUA NEW GUINEA,18000,782596,18000,782596
PE,PERU,52500,2438003,52500,2438003
PH,PHILIPPINES,682800,27979995,682800,27979995
PT,PORTUGAL,154500,6333436,154500,6333436
RE,REUNION,69000,3133053,69000,3133053
SG,SINGAPORE,246000,10324765,246000,10324765
SI,SLOVENIA,207000,8423093,207000,8423093
ZA,SOUTH AFRICA,372000,14717584,372000,14717584
ES,SPAIN,421500,17701141,421500,17701141
LK,SRI LANKA,118250,4896330,118250,4896330
TW,"TAIWAN, PROVINCE OF CHINA",1559810,64972956,1559810,64972956
TG,TOGO,288000,10608647,288000,10608647
TR,TÜRKIYE,14200,696072,14200,696072
AE,UNITED ARAB EMIRATES,48750,1445822,48750,1445822
US,UNITED STATES,300,24077,300,24077
VN,VIETNAM,769100,35171457,769100,35171457
SUM,SUM,36228740,1548318877,36228740,1548318877
