"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2014', 'Quantity')","('Jan 2014', 'FOB (Baht)')","('Jan - Jan 2014', 'Quantity')","('Jan - Jan 2014', 'FOB (Baht)')"
AU,AUSTRALIA,199,30342,199,30342
BD,BANGLADESH,34000,1100792,34000,1100792
KH,CAMBODIA,83522,18611360,83522,18611360
CA,CANADA,0,16,0,16
DE,GERMANY,133,20228,133,20228
JP,JAPAN,241,30610,241,30610
KE,KENYA,15000,1016801,15000,1016801
MY,MALAYSIA,2000,294979,2000,294979
MM,MYANMAR,360,5600,360,5600
NG,NIGERIA,15150,1045851,15150,1045851
PH,PHILIPPINES,3,41640,3,41640
SG,SINGAPORE,4250,281012,4250,281012
LK,SRI LANKA,9000,544951,9000,544951
TW,"TAIWAN, PROVINCE OF CHINA",66,10114,66,10114
VN,VIETNAM,3000,224879,3000,224879
SUM,SUM,166924,23259175,166924,23259175
