"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2012', 'Quantity')","('Jul 2012', 'FOB (Baht)')","('Jan - Jul 2012', 'Quantity')","('Jan - Jul 2012', 'FOB (Baht)')"
CN,CHINA,9500,1136262,10250,1146060
ID,INDONESIA,80000,4794519,368550,21698438
JP,JAPAN,10400,771937,21550,1588528
KR,"KOREA,REPUBLIC OF",0,0,3500,115152
MY,MALAYSIA,25,7528,25,7528
MX,MEXICO,0,0,50,2484
ZA,SOUTH AFRICA,3000,234443,15700,1132516
US,UNITED STATES,0,0,12325,1492755
VN,VIETNAM,0,0,625,252295
SUM,SUM,102925,6944689,432575,27435756
