"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2019', 'Quantity')","('May 2019', 'FOB (Baht)')","('Jan - May 2019', 'Quantity')","('Jan - May 2019', 'FOB (Baht)')"
AU,AUSTRALIA,1276920,52683811,4406730,185211484
BD,BANGLADESH,247425,9254675,1658925,61130025
BE,BELGIUM,0,0,2268000,125742660
BT,BHUTAN,0,0,321750,11442059
CN,CHINA,26121135,1234733100,137882084,6365072457
EC,ECUADOR,0,0,24750,1042102
FJ,FIJI,9000,355222,10000,391353
HK,HONG KONG,10000,556745,134850,9004326
IN,INDIA,1003190,49890584,7152800,323033589
ID,INDONESIA,3298875,133940263,25577335,1010074932
JP,JAPAN,6577870,277339782,38338745,1633617266
KR,"KOREA,REPUBLIC OF",468420,27333653,3130095,167739769
MY,MALAYSIA,843440,37389969,5452955,227720784
MU,MAURITIUS,0,0,32500,1213653
MM,MYANMAR,0,0,33000,953856
NP,NEPAL,58300,2298907,78100,3457732
NZ,NEW ZEALAND,298300,12242632,1838635,76126036
PK,PAKISTAN,105550,4910782,524050,21880195
PG,PAPUA NEW GUINEA,0,0,16000,569181
PH,PHILIPPINES,405900,17020165,5717150,206295918
PT,PORTUGAL,0,0,50000,1778688
RE,REUNION,0,0,2000,74172
RU,RUSSIAN FEDERATION,64000,2398460,285000,10500898
SG,SINGAPORE,187000,12152211,729875,45753733
ZA,SOUTH AFRICA,0,0,45500,1806442
ES,SPAIN,0,0,1375,45323
LK,SRI LANKA,85250,3380018,516500,20140883
CH,SWITZERLAND,80,4593,80,4593
TW,"TAIWAN, PROVINCE OF CHINA",926950,43399780,4013382,173576992
US,UNITED STATES,54775,4658232,337275,28378359
VN,VIETNAM,701160,37064173,3144535,171049054
SUM,SUM,42743540,1963007757,243723976,10884828514
