"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2015', 'Quantity')","('Jul 2015', 'FOB (Baht)')","('Jan - Jul 2015', 'Quantity')","('Jan - Jul 2015', 'FOB (Baht)')"
KH,CAMBODIA,345000,20380741,953250,52954194
CN,CHINA,20000,1377647,20014,1392014
IN,INDIA,330,224198,623375,16211342
ID,INDONESIA,17000,1017081,93500,4906955
JP,JAPAN,0,0,549,31074
LA,LAO PDR,6450,70750,18450,190750
MY,MALAYSIA,22067,1254734,22067,1254734
nan,NAMIBIA,0,0,32000,945016
NZ,NEW ZEALAND,0,0,72400,2214846
PK,PAKISTAN,0,0,16000,643040
LK,SRI LANKA,400,21513,400,21513
SUM,SUM,411247,24346664,1852005,80765478
