"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2014', 'Quantity')","('Nov 2014', 'FOB (Baht)')","('Jan - Nov 2014', 'Quantity')","('Jan - Nov 2014', 'FOB (Baht)')"
AU,AUSTRALIA,145360,11487322,1710400,133770014
AT,AUSTRIA,0,0,0,4
BD,BANGLADESH,0,0,2009069,122796477
BE,BELGIUM,59400,4173990,6376310,402149618
KH,CAMBODIA,28000,1375056,28000,1375056
CA,CANADA,0,0,1875,10806
CN,CHINA,9954105,611615693,111956572,6835422989
ET,ETHIOPIA,0,0,170000,5031262
FJ,FIJI,0,0,32600,1771169
FR,FRANCE,6,6294,1296,115382
GA,GABON,0,0,17000,526858
DE,GERMANY,0,0,150,6618
GH,GHANA,0,0,99500,3389338
HK,HONG KONG,61300,4192051,1597934,102542576
IN,INDIA,1120050,55642504,16675080,805114441
ID,INDONESIA,302100,20461531,3969863,256456813
JP,JAPAN,1520377,91865552,28995206,1781108601
KE,KENYA,0,0,76650,2663026
KR,"KOREA,REPUBLIC OF",1816400,127431184,20280520,1362530866
LA,LAO PDR,20100,532200,383477,10874962
MY,MALAYSIA,72125,4948871,1524405,101983667
MV,MALDIVES,15500,590250,65000,2366717
MU,MAURITIUS,0,0,34000,974668
MM,MYANMAR,12,1200,282,26008
NL,NETHERLANDS,13,1604,792013,65988070
NZ,NEW ZEALAND,18000,1479692,218310,17169037
PK,PAKISTAN,0,0,32175,1987317
PE,PERU,0,0,17000,657861
PH,PHILIPPINES,825000,42350308,8262850,437802574
PT,PORTUGAL,0,0,100,25067
RU,RUSSIAN FEDERATION,0,0,3510,683484
SA,SAUDI ARABIA,0,0,1375,89655
SG,SINGAPORE,286105,19458204,1773000,116936699
ES,SPAIN,0,0,2790,201495
LK,SRI LANKA,65900,3276572,233427,11771355
CH,SWITZERLAND,0,0,750,3201
TW,"TAIWAN, PROVINCE OF CHINA",328401,20845741,4594221,284867274
TZ,TANZANIA UNITED REPUBLIC OF,0,0,204000,6681753
AE,UNITED ARAB EMIRATES,0,0,30038,866858
GB,UNITED KINGDOM,0,0,0,3494
US,UNITED STATES,2575,424414,2292875,164220738
UY,URUGUAY,0,0,22500,1421479
VN,VIETNAM,352450,24744944,4008042,280706580
SUM,SUM,16993279,1046905177,218494165,13325091927
