"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2013', 'Quantity')","('Jan 2013', 'FOB (Baht)')","('Jan - Jan 2013', 'Quantity')","('Jan - Jan 2013', 'FOB (Baht)')"
AU,AUSTRALIA,145000,7318440,145000,7318440
BD,BANGLADESH,187000,8415917,187000,8415917
CN,CHINA,4391000,218166422,4391000,218166422
IN,INDIA,1760000,81266275,1760000,81266275
ID,INDONESIA,120200,5711996,120200,5711996
MY,MALAYSIA,33000,1609309,33000,1609309
PK,PAKISTAN,187000,8810193,187000,8810193
SG,SINGAPORE,50,14993,50,14993
LK,SRI LANKA,51000,2399384,51000,2399384
VN,VIETNAM,34200,1603143,34200,1603143
SUM,SUM,6908450,335316072,6908450,335316072
