"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2017', 'Quantity')","('Oct 2017', 'FOB (Baht)')","('Jan - Oct 2017', 'Quantity')","('Jan - Oct 2017', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,200,14396
KH,CAMBODIA,0,0,500,26500
CN,CHINA,5000,86449,6200,285187
ID,INDONESIA,0,0,100,6602
JP,JAPAN,0,0,39603,3834632
KR,"KOREA,REPUBLIC OF",0,0,140,13107
LA,LAO PDR,5000,226975,14500,674624
LK,SRI LANKA,225,5911,225,5911
TW,"TAIWAN, PROVINCE OF CHINA",0,0,20000,1588286
VN,VIETNAM,0,0,1100,103206
SUM,SUM,10225,319335,82568,6552451
