"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2012', 'Quantity')","('Dec 2012', 'FOB (Baht)')","('Jan - Dec 2012', 'Quantity')","('Jan - Dec 2012', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,150,5858
AT,AUSTRIA,0,0,10000,445384
KH,CAMBODIA,135000,5777319,1815000,74198246
CN,CHINA,20000,1447011,181975,12691468
DE,GERMANY,0,0,100,35857
ID,INDONESIA,0,0,99000,4609434
JP,JAPAN,1200,63258,2700,149613
KR,"KOREA,REPUBLIC OF",0,0,350,26638
PH,PHILIPPINES,0,0,100,4436
SUM,SUM,156200,7287588,2109375,92166934
