"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2014', 'Quantity')","('Oct 2014', 'FOB (Baht)')","('Jan - Oct 2014', 'Quantity')","('Jan - Oct 2014', 'FOB (Baht)')"
AR,ARGENTINA,0,16,677350,51500101
AU,AUSTRALIA,0,0,2300,398812
BR,BRAZIL,0,0,100,10577
CN,CHINA,0,0,7750,733426
DE,GERMANY,0,0,100,5982
IN,INDIA,0,0,5000,457761
ID,INDONESIA,25000,1747017,320275,21779298
JP,JAPAN,8100,530261,71299,5924514
KR,"KOREA,REPUBLIC OF",0,0,925,24411
LA,LAO PDR,0,0,650,56550
MY,MALAYSIA,50,1650,1950,216104
PK,PAKISTAN,0,0,2500,290075
SG,SINGAPORE,0,0,2000,311546
TW,"TAIWAN, PROVINCE OF CHINA",0,0,238,82600
VN,VIETNAM,70500,3745109,636375,39825345
SUM,SUM,103650,6024053,1728812,121617102
