"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2013', 'Quantity')","('May 2013', 'FOB (Baht)')","('Jan - May 2013', 'Quantity')","('Jan - May 2013', 'FOB (Baht)')"
AR,ARGENTINA,89900,5776630,89900,5776630
CN,CHINA,0,0,16000,986750
IN,INDIA,0,0,15500,894704
ID,INDONESIA,0,0,64200,4327230
JP,JAPAN,0,0,26700,825402
LA,LAO PDR,0,0,5600,571200
PK,PAKISTAN,0,0,15950,1252020
TW,"TAIWAN, PROVINCE OF CHINA",1000,67023,2000,136736
SUM,SUM,90900,5843653,235850,14770672
