"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2014', 'Quantity')","('Apr 2014', 'FOB (Baht)')","('Jan - Apr 2014', 'Quantity')","('Jan - Apr 2014', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,22000,529704
KH,CAMBODIA,15000,757393,179975,9053427
CN,CHINA,0,0,20000,1625528
IN,INDIA,500,27647,17500,539242
ID,INDONESIA,50,3446,42050,2532811
JP,JAPAN,15800,850272,47650,2549475
MY,MALAYSIA,20018,1084596,20018,1084596
MM,MYANMAR,0,0,49500,1737379
NZ,NEW ZEALAND,12000,418914,12000,418914
PK,PAKISTAN,0,0,15000,653657
US,UNITED STATES,1600,82789,1600,82789
SUM,SUM,64968,3225057,427293,20807522
