"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2013', 'Quantity')","('Dec 2013', 'FOB (Baht)')","('Jan - Dec 2013', 'Quantity')","('Jan - Dec 2013', 'FOB (Baht)')"
AF,AFGHANISTAN,0,0,68000,3297094
AU,AUSTRALIA,0,0,950404,50233331
BD,BANGLADESH,37,3803,4669037,220885427
KH,CAMBODIA,0,0,5500,463560
CL,CHILE,0,0,34000,1738614
CN,CHINA,4201200,237128459,47349000,2370401381
DJ,DJIBOUTI,68000,3672567,136000,7029165
EG,EGYPT,50,2897,50,2897
ET,ETHIOPIA,51000,2834496,85000,4536903
HK,HONG KONG,0,0,2400,128822
IN,INDIA,1017000,56004036,24751375,1196221283
ID,INDONESIA,85000,4777540,1559250,79057121
JP,JAPAN,0,15,26750,1492783
KR,"KOREA,REPUBLIC OF",950,77588,18625,1076875
MY,MALAYSIA,10200,605689,255950,13402450
MU,MAURITIUS,0,0,7000,370055
PK,PAKISTAN,51000,2832612,2039000,100006015
PH,PHILIPPINES,0,0,77100,4003918
SA,SAUDI ARABIA,0,0,218000,11228757
SG,SINGAPORE,4375,214898,17125,1050115
LK,SRI LANKA,20472,1174304,666472,33246710
TW,"TAIWAN, PROVINCE OF CHINA",0,0,3100,275574
TR,TÜRKIYE,0,0,85000,4426348
US,UNITED STATES,0,0,138006,7412912
VN,VIETNAM,45000,2595226,783072,37690691
SUM,SUM,5554284,311924130,83945216,4149678801
