"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2021', 'Quantity')","('Sept 2021', 'FOB (Baht)')","('Jan - Sept 2021', 'Quantity')","('Jan - Sept 2021', 'FOB (Baht)')"
CN,CHINA,67900,2950126,344414,12192879
HK,HONG KONG,24000,993650,74000,3233532
IN,INDIA,60000,8063143,620100,74882098
ID,INDONESIA,72200,4487336,446425,24443949
KR,"KOREA,REPUBLIC OF",0,0,9000,898205
MX,MEXICO,0,0,99000,5796759
PK,PAKISTAN,0,0,1450,77635
PH,PHILIPPINES,96,29714,165,51037
VN,VIETNAM,4500,395821,93175,3878860
SUM,SUM,228696,16919790,1687729,125454954
