"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2017', 'Quantity')","('Sept 2017', 'FOB (Baht)')","('Jan - Sept 2017', 'Quantity')","('Jan - Sept 2017', 'FOB (Baht)')"
BE,BELGIUM,0,0,91,11978
CN,CHINA,0,0,5066,514715
DK,DENMARK,0,0,33,5057
HK,HONG KONG,0,0,193,159737
IN,INDIA,96000,4004947,962750,44593984
ID,INDONESIA,0,0,25538,1909599
IT,ITALY,0,0,99,15171
JP,JAPAN,0,0,2744,596216
KR,"KOREA,REPUBLIC OF",0,0,186,25285
LA,LAO PDR,3,1050,51073,7231996
MY,MALAYSIA,120,154519,182,237986
MM,MYANMAR,100,19000,1425,119000
NZ,NEW ZEALAND,0,0,75,10114
NG,NIGERIA,13000,772595,28000,1746998
SG,SINGAPORE,5000,310812,23068,1557879
LK,SRI LANKA,0,0,31100,1706905
CH,SWITZERLAND,0,0,112,15171
TW,"TAIWAN, PROVINCE OF CHINA",75,10114,224,40456
AE,UNITED ARAB EMIRATES,75,10114,145,20228
VN,VIETNAM,100,70456,129,240947
SUM,SUM,114473,5353607,1132233,60759422
