"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2018', 'Quantity')","('Dec 2018', 'FOB (Baht)')","('Jan - Dec 2018', 'Quantity')","('Jan - Dec 2018', 'FOB (Baht)')"
AU,AUSTRALIA,206,3270,206,3270
CN,CHINA,106000,519957,213996,1258653
DK,DENMARK,0,0,0,31
DE,GERMANY,0,0,45,796
HK,HONG KONG,0,0,174,157285
IN,INDIA,100,5428,100,5428
ID,INDONESIA,0,0,114700,5744974
JP,JAPAN,0,0,16580,1460477
LA,LAO PDR,6800,284987,60240,2691164
MM,MYANMAR,0,0,50,12500
NZ,NEW ZEALAND,38,18683,62,30844
PK,PAKISTAN,0,0,57350,2881508
PH,PHILIPPINES,0,0,11052,583140
SG,SINGAPORE,0,0,5990,303236
CH,SWITZERLAND,0,0,60,1982
TW,"TAIWAN, PROVINCE OF CHINA",27,2502,27027,1482573
GB,UNITED KINGDOM,0,0,43,85090
VN,VIETNAM,5,15288,709,161839
SUM,SUM,113176,850115,508384,16864790
