"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2017', 'Quantity')","('Jul 2017', 'FOB (Baht)')","('Jan - Jul 2017', 'Quantity')","('Jan - Jul 2017', 'FOB (Baht)')"
AU,AUSTRALIA,794990,31399057,3094860,124011440
AZ,AZERBAIJAN,24000,941184,24000,941184
BD,BANGLADESH,425000,14474426,1801400,73317014
BR,BRAZIL,0,0,360000,14314075
KH,CAMBODIA,72200,3516505,240175,12621851
CN,CHINA,4545800,180686787,23598900,990650340
CI,COTE D IVOIRE,0,0,34000,1553989
EG,EGYPT,17000,673934,17000,673934
ET,ETHIOPIA,0,0,51000,2308705
HK,HONG KONG,0,0,18625,830257
IN,INDIA,1642000,57015570,7322025,271421374
ID,INDONESIA,1217375,52692691,11178325,494265813
IL,ISRAEL,48000,2012545,401000,17626837
IT,ITALY,0,0,25,1611
JP,JAPAN,300175,15863910,1082600,54891720
KE,KENYA,0,0,68000,2809820
KR,"KOREA,REPUBLIC OF",100,6072,12175,580306
LA,LAO PDR,0,0,131000,5495431
MY,MALAYSIA,210000,8587489,1566300,68273358
MM,MYANMAR,0,0,230275,9701340
NZ,NEW ZEALAND,15000,651993,603480,27129583
NG,NIGERIA,68000,2425671,118750,4338802
OM,OMAN,51000,1909119,204000,7830359
PK,PAKISTAN,18500,1586589,314700,19801291
PH,PHILIPPINES,897000,34593398,3405275,137673362
SG,SINGAPORE,17000,625289,112000,4626655
ZA,SOUTH AFRICA,700,63702,5000,473483
LK,SRI LANKA,51000,2047233,119000,5007133
TW,"TAIWAN, PROVINCE OF CHINA",155000,6418822,337850,13207831
TZ,TANZANIA UNITED REPUBLIC OF,24000,1050623,107000,4534259
TR,TÜRKIYE,0,0,308300,11618952
AE,UNITED ARAB EMIRATES,102000,4028942,102000,4028942
VN,VIETNAM,1050000,38443952,3932675,151922666
ZM,ZAMBIA,0,0,34000,1411761
SUM,SUM,11745840,461715503,60935715,2539895478
