"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2015', 'Quantity')","('Apr 2015', 'FOB (Baht)')","('Jan - Apr 2015', 'Quantity')","('Jan - Apr 2015', 'FOB (Baht)')"
AU,AUSTRALIA,142800,10601277,753020,56748093
AT,AUSTRIA,0,0,460,196207
BD,BANGLADESH,500,36898,594500,36544029
BE,BELGIUM,277200,19220602,811800,53627517
KH,CAMBODIA,8000,479161,42000,1969865
CN,CHINA,13096880,809500869,45339120,2805237442
CO,COLOMBIA,0,0,200,21612
ET,ETHIOPIA,64000,1661568,149000,4333178
DE,GERMANY,0,0,39650,2508093
HK,HONG KONG,306203,19323073,623990,37082524
IN,INDIA,1786100,94337100,5109068,286528064
ID,INDONESIA,538910,36453383,1446598,96253295
IE,IRELAND,0,0,875,179801
IT,ITALY,0,0,3500,157713
JP,JAPAN,1614400,91493970,9806147,571598889
KE,KENYA,20000,668521,45000,1505251
KR,"KOREA,REPUBLIC OF",1926935,135629084,7120981,498389669
LA,LAO PDR,0,0,96000,2446900
MY,MALAYSIA,232850,15753118,758525,52564010
MM,MYANMAR,0,0,1250,25000
NZ,NEW ZEALAND,20000,1496037,102200,8051475
PK,PAKISTAN,28600,1724444,68700,4108557
PH,PHILIPPINES,737550,31419294,2481200,103025304
SG,SINGAPORE,70400,4812834,932565,64792488
LK,SRI LANKA,17000,385400,70425,2437744
TW,"TAIWAN, PROVINCE OF CHINA",574800,37808845,1776810,111398396
TZ,TANZANIA UNITED REPUBLIC OF,102000,3392908,204000,6793693
GB,UNITED KINGDOM,0,0,0,1054
US,UNITED STATES,59400,4159212,139425,12181265
VN,VIETNAM,644300,45961264,1709110,121433664
SUM,SUM,22268828,1366318862,80226119,4942140792
