"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2017', 'Quantity')","('Aug 2017', 'FOB (Baht)')","('Jan - Aug 2017', 'Quantity')","('Jan - Aug 2017', 'FOB (Baht)')"
DZ,ALGERIA,0,0,17000,703951
AR,ARGENTINA,0,0,717250,55645027
AU,AUSTRALIA,58000,2740851,1979665,84171349
AT,AUSTRIA,0,0,900,56997
BD,BANGLADESH,705000,28391466,5905505,262631629
BE,BELGIUM,212000,17413763,1044000,82329696
BR,BRAZIL,371000,15714782,2122700,91355883
KH,CAMBODIA,406000,14812508,2992810,114654146
CA,CANADA,2450,122261,3150,151457
CL,CHILE,25,897,25,897
CN,CHINA,5247778,187251085,43771798,1719369296
CO,COLOMBIA,0,0,66500,2756401
CD,"CONGO, THE DEMOCRATIC REPUBLIC OF THE",0,0,255000,10692152
DJ,DJIBOUTI,280500,10688266,1105500,40553222
EC,ECUADOR,0,0,750,32079
EG,EGYPT,0,0,80,2851
ET,ETHIOPIA,0,0,33100,1335977
FJ,FIJI,33000,1264558,72000,2820337
FR,FRANCE,0,0,16000,2634435
PF,FRENCH POLYNESIA,0,0,60000,2357998
DE,GERMANY,0,0,7080,201496
GH,GHANA,0,0,81250,2134039
HK,HONG KONG,1942026,67938426,16326334,616627455
IN,INDIA,944158,31210873,6854183,250492485
ID,INDONESIA,10835875,406361858,79437388,3144010376
IL,ISRAEL,0,0,72050,3261296
JP,JAPAN,940180,36447110,6026853,247811957
KE,KENYA,0,0,84300,3590926
KR,"KOREA,REPUBLIC OF",98625,4366131,238485,16385610
LA,LAO PDR,16250,222962,447225,18019304
MG,MADAGASCAR,0,0,1287000,36892001
MW,MALAWI,81000,2045285,162000,4108375
MY,MALAYSIA,1881600,70609394,11082341,444590441
MU,MAURITIUS,73500,2992139,574000,24282109
MX,MEXICO,24000,858888,89000,3516546
MZ,MOZAMBIQUE,0,0,269000,9613744
MM,MYANMAR,1623250,58283205,5076500,187696283
NL,NETHERLANDS,0,0,2000,882557
NC,NEW CALEDONIA,0,0,2000,76584
NZ,NEW ZEALAND,38500,1492682,382175,13356133
NG,NIGERIA,0,0,119000,4528844
OM,OMAN,0,0,136000,5687473
PK,PAKISTAN,9000,1011652,873300,45654417
PG,PAPUA NEW GUINEA,0,0,33000,1308777
PH,PHILIPPINES,766700,28167300,8582650,347795710
PT,PORTUGAL,0,0,17000,681706
RU,RUSSIAN FEDERATION,0,0,2075,87576
SG,SINGAPORE,69800,2687387,699471,28657335
ZA,SOUTH AFRICA,75000,4070208,972475,67482059
LK,SRI LANKA,29200,2273711,617250,35335222
SD,SUDAN,0,0,34050,1338377
CH,SWITZERLAND,0,0,800,38400
TW,"TAIWAN, PROVINCE OF CHINA",2931,154719,193715,8490945
TZ,TANZANIA UNITED REPUBLIC OF,0,0,24000,1054918
TR,TÜRKIYE,0,0,104925,3930351
AE,UNITED ARAB EMIRATES,30000,684427,541500,21719831
GB,UNITED KINGDOM,0,0,4090,834000
US,UNITED STATES,0,176,606576,49106160
VN,VIETNAM,5579305,206105941,24791930,967482304
SUM,SUM,32376653,1206384911,227018704,9093019902
